task_slug,category,Claude Haiku 4.5,Claude Opus 4.6,Claude Sonnet 4.6,DeepSeek V3.2,GLM-5,GPT-5.4,GPT-5.4 mini,GPT-5.4 nano,Gemini 2.5 Flash,Gemini 3.1 Flash-Lite Preview,Gemini 3.1 Pro Preview,Gemma 4 26B A4B,Qwen 3 Next 80B Instruct,Qwen 3 Next 80B Thinking
kophar-quantity-lang-learning,lang-learning,0.4,0.75,0.742857,0.5,0.914286,0.828571,0.685714,0.621429,0.442857,0.75,0.75,0.492857,0.742857,0.914286
mixed-radix-number-lang-learning,lang-learning,0.2375,0.4,1.0,0.7,0.25,0.475,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
norkvash-scalar-lang-learning,lang-learning,0.46,0.58,0.0,0.52,0.82,0.82,0.57,0.0,0.4,0.25,0.58,0.26,0.76,0.5
pelvan-agreement-lang-learning,lang-learning,0.127273,0.3,0.309091,0.0,0.25,0.140909,0.168182,0.0,0.227273,0.0,0.563636,0.0,0.209091,0.25
prentova-allomorphy-wugtest-lang-learning,lang-learning,0.4,0.4,0.3,0.3,0.614286,0.442857,0.478571,0.492857,0.614286,0.653571,0.742857,0.457143,0.185714,1.0
skelth-allomorph-lang-learning,lang-learning,0.4,1.0,1.0,0.589286,0.653571,1.0,0.653571,0.7,0.0,0.75,1.0,0.364286,0.621429,0.957143
sklonveth-root-pattern-lang-learning,lang-learning,0.3,0.4,0.3,0.371429,0.621429,0.364286,0.457143,0.164286,0.442857,0.457143,0.4,0.332143,0.207143,0.589286
skolvren-polysynthetic-lang-learning,lang-learning,0.0,0.1,0.0,0.0,0.675,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
skovar-deletion-lang-learning,lang-learning,0.275,0.1,0.0,0.6375,0.95,0.75,0.675,0.4,0.375,0.5,1.0,0.0,0.2,0.85
strelkov-ergative-lang-learning,lang-learning,0.6,1.0,1.0,0.75,1.0,1.0,0.65,0.2,0.5,1.0,1.0,0.0,0.866667,1.0
strevoklan-neg-lang-learning,lang-learning,0.1,0.64,0.0,0.0,0.7,0.615,0.44,0.2,0.64,0.0,1.0,0.2,0.57,0.29
telvari-evidentiality-lang-learning,lang-learning,0.563636,0.890909,1.0,0.890909,0.945455,1.0,0.890909,0.672727,0.672727,1.0,1.0,0.454545,0.836364,0.890909
threlkav-scope-ergativity-lang-learning,lang-learning,0.781818,1.0,1.0,0.890909,1.0,1.0,0.945455,0.781818,1.0,1.0,1.0,0.727273,0.836364,1.0
trenval-bleeding-lang-learning,lang-learning,0.584615,0.3,0.4,0.492308,0.907692,0.815385,0.907692,0.169231,0.4,0.680769,0.861538,0.446154,0.611538,0.769231
trevkovan-gradation-lang-learning,lang-learning,0.3,0.5,0.5,0.371429,0.871429,1.0,0.414286,0.5,1.0,0.5,0.75,0.2,0.428571,1.0
vrelthan-rule-interaction-lang-learning,lang-learning,0.4,0.4,0.45,0.45,0.25,0.4125,0.425,0.3,0.25,0.425,0.75,0.4,0.45,0.25
vrendel-templatic-lang-learning,lang-learning,0.381818,0.4,0.509091,0.0,0.945455,1.0,0.709091,0.586364,0.4,0.75,1.0,0.618182,0.727273,1.0
wukal-tones-lang-learning,lang-learning,0.340909,0.2,0.5,0.445455,0.836364,0.5,0.472727,0.463636,0.545455,0.472727,0.5,0.209091,0.363636,0.836364
affine-transform-chain-obs-learning,obs-learning,0.0,0.75,0.0,0.5,0.0,0.5,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5
agglutinative-morphology-obs-learning,obs-learning,0.25,0.5,0.25,0.0,0.5,0.0,0.25,0.25,0.25,0.25,1.0,0.0,0.0,0.25
arithmetic-entropy-coding-obs-learning,obs-learning,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.5,1.0,0.25,1.0,1.0
auction-mechanism-second-price-obs-learning,obs-learning,0.5,0.5,0.5,0.75,1.0,0.5,0.25,0.25,0.25,0.25,1.0,0.25,0.5,0.25
codon-table-translation-obs-learning,obs-learning,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
feistel-cipher-round-obs-learning,obs-learning,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75
finite-state-transducer-obs-learning,obs-learning,0.25,0.25,0.25,0.0,1.0,0.5,0.0,0.0,1.0,0.25,1.0,0.0,0.0,1.0
flow-network-capacity-obs-learning,obs-learning,0.75,0.5,0.25,0.5,0.0,0.5,0.25,0.0,0.25,0.25,0.75,0.5,0.0,0.5
hidden-attribute-rule-obs-learning,obs-learning,0.625,0.625,0.5,0.625,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.625,0.375
hidden-damping-physics-obs-learning,obs-learning,0.25,0.25,0.0,0.75,1.0,0.5,0.0,0.25,0.25,0.5,1.0,0.25,0.0,1.0
hidden-matrix-fill-obs-learning,obs-learning,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0
hidden-modal-logic-kripke-obs-learning,obs-learning,0.375,0.625,0.5,0.5,0.0,0.375,0.5,0.75,0.375,0.625,0.375,0.25,0.0,0.0
hidden-modal-logic-kripke2-obs-learning,obs-learning,0.5,0.625,0.5,0.375,0.0,0.5,0.25,0.375,0.625,0.625,1.0,0.25,0.5,0.5
hidden-priority-order-obs-learning,obs-learning,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0
hidden-token-filter-obs-learning,obs-learning,0.25,0.25,0.25,0.25,0.75,0.25,0.0,0.0,0.75,0.25,1.0,0.0,0.0,0.75
lattice-meet-join-obs-learning,obs-learning,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5
lfu-cache-eviction-obs-learning,obs-learning,0.25,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.0,0.5,0.75
linear-feedback-shift-register-obs-learning,obs-learning,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,1.0,0.25,0.0,0.25
mealy-machine-output-obs-learning,obs-learning,0.0,0.5,0.5,0.25,0.75,0.5,0.0,0.25,0.0,0.5,0.75,0.25,0.25,0.75
phonological-alternation-harmony-obs-learning,obs-learning,0.75,1.0,1.0,0.75,1.0,0.5,1.0,0.25,1.0,0.5,1.0,0.5,0.5,1.0
pipeline-hazard-stall-counting-obs-learning,obs-learning,0.5,0.0,0.0,0.5,1.0,0.25,0.25,0.0,0.25,0.0,1.0,0.25,0.0,0.5
pushdown-automaton-inference-obs-learning,obs-learning,0.5,0.75,0.75,0.5,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0
regex-intersection-membership-obs-learning,obs-learning,1.0,0.75,1.0,0.75,1.0,1.0,0.75,0.25,0.75,0.75,1.0,1.0,0.0,1.0
ring-operations-hidden-carry-obs-learning,obs-learning,0.0,0.0,0.25,1.0,1.0,0.5,0.0,0.0,0.25,0.25,1.0,0.0,0.0,1.0
shapley-values-cooperative-game-obs-learning,obs-learning,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
sigil-naming-obs-learning,obs-learning,0.25,0.0,0.0,0.25,1.0,0.0,0.25,0.0,0.25,0.0,1.0,0.25,0.25,0.25
singleton-gate-local-max-obs-learning,obs-learning,0.25,0.5,0.25,0.5,0.5,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.0,0.0
syntax-tree-rewrite-obs-learning,obs-learning,0.5,1.0,0.25,0.75,1.0,0.5,0.5,0.25,0.25,0.5,1.0,0.25,0.75,0.75
titration-curve-diprotic-obs-learning,obs-learning,0.2,0.2,0.2,0.6,0.0,0.4,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.4
two-counter-machine-obs-learning,obs-learning,0.166667,0.166667,0.166667,0.0,0.666667,0.0,0.0,0.0,0.833333,0.666667,0.166667,0.333333,0.166667,1.0
adaptive-sort-rule-proc-learning,proc-learning,0.3901,0.9104,0.8284,0.4359,0.9034,0.5204,0.3304,0.5393,0.8354,0.3029,0.8142,0.3876,0.3714,0.0
boolean-circuit-proc-learning,proc-learning,0.26,0.26,0.26,0.242,0.26,0.0,0.0,0.0,0.26,0.26,0.76,0.166,0.754,0.254
dialect-morphology-proc-learning,proc-learning,0.6419,0.2019,0.5201,0.4644,0.5932,0.575,0.5861,0.575,0.5861,0.5861,0.5111,0.2072,0.587,0.575
grammar-induction-proc-learning,proc-learning,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0
lights-out-variant-proc-learning,proc-learning,0.552,0.546,0.668,0.0,0.626,0.5,0.0,0.0,0.796,0.712,0.796,0.052,0.626,0.558
nim-variant-proc-learning,proc-learning,0.0,0.4417,0.0,0.0,0.275,0.0,0.0,0.0,0.5877,0.0,0.6627,0.0,0.0,0.2
opponent-strategy-proc-learning,proc-learning,0.5833,0.6067,0.685,0.76,0.7083,0.405,0.4683,0.3817,0.4567,0.4683,0.875,0.685,0.875,0.2517
packet-filter-proc-learning,proc-learning,0.2369,0.3769,0.4246,0.275,0.258,0.2788,0.33,0.0,0.2847,0.2922,0.6051,0.0,0.2,0.1484
sql-reverse-engineering-proc-learning,proc-learning,0.3967,0.5083,0.2472,0.306,0.8,0.257,0.3087,0.2517,0.602,0.4333,0.8,0.5293,0.115,0.23
state-machine-password-proc-learning,proc-learning,0.6065,0.59,0.4017,0.52,0.6055,0.5778,0.405,0.4691,0.5388,0.5143,0.589,0.569,0.62,0.6765
voting-protocol-proc-learning,proc-learning,0.21,0.05,0.07,0.81,0.87,0.0,0.0,0.0,0.39,0.93,0.94,0.01,0.8,0.89
affine-cipher-word-rf-learning,rf-learning,0.04,0.04,0.04,0.0,0.7868,0.8,0.0,0.8,0.0,0.0,0.8,0.8,0.0,0.0
arithmetic-next-rf-learning,rf-learning,0.1286,0.1857,0.1714,0.1286,0.925,0.1286,0.1143,0.1,0.925,0.1286,0.9333,0.1286,0.1,0.9
base7-decode-rf-learning,rf-learning,1.0,0.8,1.0,1.0,1.0,0.2,0.2,0.1562,0.925,0.1063,0.8,1.0,0.125,1.0
battleship-1d-rf-learning,rf-learning,0.9404,0.8279,0.0,0.9404,0.9074,0.9338,0.9735,0.0,0.7882,0.0,1.0,0.9603,0.0,0.0
battleship-two-ships-rf-learning,rf-learning,0.9719,0.85,0.9719,0.1,0.9531,1.0,0.9812,0.1,0.1,1.0,1.0,0.1,0.1,0.1
bitstring-hamming-rf-learning,rf-learning,0.1429,0.1429,0.1857,0.1143,0.1714,0.1857,0.1286,0.0714,0.1143,0.7852,0.9489,0.1714,0.0,0.1714
chebyshev-point-rf-learning,rf-learning,0.1857,0.9913,0.9394,0.9827,1.0,1.0,0.1857,0.1571,1.0,1.0,1.0,0.1643,0.1643,1.0
coin-balance-rf-learning,rf-learning,1.0,1.0,0.8015,0.9603,1.0,1.0,0.9603,0.2,0.8809,0.8,1.0,1.0,0.8412,1.0
collatz-length-rf-learning,rf-learning,0.8364,0.9284,0.044,0.1024,0.06,0.0196,0.014,0.0124,0.8875,0.0436,0.8875,0.0192,0.0248,0.0464
crt-unique-rf-learning,rf-learning,0.2,1.0,0.2,0.8088,0.2,0.2,0.2,0.2,0.2,0.8088,1.0,1.0,0.9333,0.9775
cubic-eval-rf-learning,rf-learning,0.9795,1.0,0.9489,0.9693,1.0,0.9693,0.2,0.8284,0.9591,0.9898,1.0,1.0,0.8159,1.0
digitwise-l1-rf-learning,rf-learning,0.1289,0.1615,0.1526,0.1659,0.1541,0.1733,0.1615,0.16,0.1363,0.1704,1.0,0.16,0.1541,0.1481
divisor-count-rf-learning,rf-learning,0.7898,0.8,0.6977,0.7591,0.7284,0.7284,0.8,0.0,0.8,0.8,0.8,0.8,0.0,0.7284
fib-like-next-rf-learning,rf-learning,1.0,0.9906,0.9906,0.9531,0.9719,0.2,0.2,0.8969,0.2,0.8625,0.85,0.9,0.8125,0.95
graph-shortest-path-rf-learning,rf-learning,0.8,0.8442,0.8788,0.8442,0.8735,0.12,0.86,0.08,0.8096,0.8881,0.8935,0.8442,0.8,0.8
gray-hamming-rf-learning,rf-learning,0.15,0.0,0.1833,0.1333,0.1167,0.9182,0.1167,0.1,0.15,0.15,0.9489,0.1333,0.15,0.1333
hanoi-two-rf-learning,rf-learning,0.2,1.0,0.8568,0.2,1.0,1.0,0.9932,1.0,0.09,0.8977,1.0,1.0,0.0667,0.9659
manhattan-point-rf-learning,rf-learning,1.0,0.8962,1.0,0.9913,1.0,0.8615,1.0,0.9481,0.8269,1.0,1.0,0.1,0.1,1.0
mastermind-aggregate-rf-learning,rf-learning,0.08,0.2,0.925,0.2,0.9357,0.8821,0.08,0.12,0.2,0.16,0.2,0.08,0.12,0.2
perm-footrule-rf-learning,rf-learning,0.0,0.0,0.9464,0.0667,0.9786,0.9464,0.0667,0.0667,0.0,0.0,1.0,1.0,0.0,0.0
product-hotcold-rf-learning,rf-learning,1.0,0.8969,0.8313,0.1455,0.8969,1.0,1.0,0.1636,0.1909,0.9625,1.0,0.1818,0.1818,0.9531
quadratic-root-rf-learning,rf-learning,1.0,1.0,1.0,0.982,1.0,0.982,0.1845,0.1845,1.0,1.0,1.0,0.847,0.1974,1.0
recurrence-second-order-rf-learning,rf-learning,0.2,0.9827,0.9827,0.9481,1.0,0.9654,0.2,0.2,0.2,0.9,0.974,0.95,0.05,0.9
rule90-step-rf-learning,rf-learning,0.8875,0.9325,0.8538,0.9213,1.0,0.8987,0.91,0.1333,0.1556,1.0,1.0,0.0,1.0,0.0889
shift-cipher-rf-learning,rf-learning,0.2,0.8393,0.2,0.2,0.9333,1.0,0.9333,0.2,0.2,0.8714,0.8667,0.8667,0.9333,0.9333
sudoku-2x2-rf-learning,rf-learning,1.0,0.993,0.9578,0.8875,1.0,0.8383,0.02,0.02,1.0,0.02,1.0,1.0,0.9578,1.0
sum-product-xy-rf-learning,rf-learning,0.9333,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.9333,1.0,0.9906,0.2,1.0
verbal-bandit-rf-learning,rf-learning,0.8845,0.2,0.18,0.2,0.2,0.06,0.85,0.2,1.0,0.9,1.0,0.2,0.9,0.9
wordle-micro-rf-learning,rf-learning,0.1667,0.2,0.2,0.1667,1.0,0.1,0.1,0.1,0.2,0.2,0.97,0.0,0.0667,0.1
xor-subset-hamming-rf-learning,rf-learning,0.14,0.9182,0.9182,0.16,1.0,0.7852,0.18,0.14,1.0,0.16,1.0,0.16,0.18,1.0
10000,unknown,0.5,0.333333,0.333333,0.166667,0.0,0.666667,0.333333,0.333333,0.5,0.5,0.833333,0.333333,0.0,0.0
10001,unknown,0.5,0.625,0.375,0.375,0.75,0.5,0.375,0.375,0.625,0.25,0.75,0.375,0.125,0.5
10002,unknown,0.625,0.625,0.75,0.5,0.75,0.625,0.625,0.5,0.625,0.375,1.0,0.5,0.75,0.625
