model_name,model_slug,task_slug,category,score,eval_date
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,interleave-reverse-concept-learning,concept-learning,1.0,2026-04-10T14:49:26.516217Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,grid-transform-concept-learning,concept-learning,1.0,2026-04-10T14:53:20.038522Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,agglutinative-morphology-obs-learning,obs-learning,1.0,2026-04-12T01:22:18.832832Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,affine-transform-chain-obs-learning,obs-learning,0.5,2026-04-12T11:37:10.078237Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,arithmetic-entropy-coding-obs-learning,obs-learning,1.0,2026-04-12T01:24:54.738773Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,lfu-cache-eviction-obs-learning,obs-learning,1.0,2026-04-12T01:27:35.947512Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,auction-mechanism-second-price-obs-learning,obs-learning,1.0,2026-04-12T02:02:57.042942Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,codon-table-translation-obs-learning,obs-learning,1.0,2026-04-12T01:33:14.88689Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,flow-network-capacity-obs-learning,obs-learning,0.75,2026-04-15T23:28:12.267564Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,feistel-cipher-round-obs-learning,obs-learning,1.0,2026-04-12T01:35:53.363226Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,hidden-matrix-fill-obs-learning,obs-learning,1.0,2026-04-12T01:41:01.612242Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,hidden-damping-physics-obs-learning,obs-learning,1.0,2026-04-12T01:43:43.24194Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,singleton-gate-local-max-obs-learning,obs-learning,0.5,2026-04-16T00:46:18.293621Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,linear-feedback-shift-register-obs-learning,obs-learning,1.0,2026-04-12T01:48:06.045124Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,lattice-meet-join-obs-learning,obs-learning,1.0,2026-04-12T01:52:13.35522Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,phonological-alternation-harmony-obs-learning,obs-learning,1.0,2026-04-12T01:55:13.506083Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,hidden-token-filter-obs-learning,obs-learning,1.0,2026-04-12T01:10:44.394366Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,sigil-naming-obs-learning,obs-learning,1.0,2026-04-12T01:58:10.42899Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,pushdown-automaton-inference-obs-learning,obs-learning,1.0,2026-04-12T01:59:06.794458Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,mealy-machine-output-obs-learning,obs-learning,0.75,2026-04-12T11:21:09.753691Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,pipeline-hazard-stall-counting-obs-learning,obs-learning,1.0,2026-04-12T10:42:43.649597Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,hidden-attribute-rule-obs-learning,obs-learning,0.75,2026-04-12T11:18:48.218383Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,shapley-values-cooperative-game-obs-learning,obs-learning,1.0,2026-04-12T01:06:42.799444Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,ring-operations-hidden-carry-obs-learning,obs-learning,1.0,2026-04-12T01:06:07.651577Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,hidden-modal-logic-kripke-obs-learning,obs-learning,0.375,2026-04-15T22:15:17.029748Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,syntax-tree-rewrite-obs-learning,obs-learning,1.0,2026-04-12T01:03:24.784456Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,regex-intersection-membership-obs-learning,obs-learning,1.0,2026-04-12T01:03:11.747418Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,hidden-modal-logic-kripke2-obs-learning,obs-learning,1.0,2026-04-16T00:21:50.259659Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,hidden-priority-order-obs-learning,obs-learning,0.0,2026-04-16T00:43:13.25694Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,titration-curve-diprotic-obs-learning,obs-learning,0.8,2026-04-15T23:39:34.50341Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,finite-state-transducer-obs-learning,obs-learning,1.0,2026-04-12T00:36:47.152357Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,two-counter-machine-obs-learning,obs-learning,0.166667,2026-04-16T00:18:04.055351Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,dimval-metathesis-lang-learning,lang-learning,1.0,2026-04-12T22:18:31.227741Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,drelkovak-harmony-lang-learning,lang-learning,0.75,2026-04-12T22:18:26.306285Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,drelvak-reduplication-lang-learning,lang-learning,0.614286,2026-04-12T22:19:32.394577Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,grelkan-suppletion-lang-learning,lang-learning,0.48,2026-04-13T02:13:19.359561Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,drafnelt-switch-reference-lang-learning,lang-learning,1.0,2026-04-12T22:18:40.832271Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,kelstran-tone-lang-learning,lang-learning,0.84,2026-04-12T22:21:16.618141Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,prentova-allomorphy-wugtest-lang-learning,lang-learning,0.742857,2026-04-12T22:23:09.337733Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,skelth-allomorph-lang-learning,lang-learning,1.0,2026-04-12T22:24:12.82975Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,gwelthar-mirative-evidential-tone-lang-learning,lang-learning,0.907692,2026-04-12T22:25:58.540247Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,norkvash-scalar-lang-learning,lang-learning,0.58,2026-04-12T22:26:16.284369Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,sklonveth-root-pattern-lang-learning,lang-learning,0.4,2026-04-12T22:27:48.9738Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,skovar-deletion-lang-learning,lang-learning,1.0,2026-04-12T22:28:35.98423Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,strelkov-ergative-lang-learning,lang-learning,1.0,2026-04-12T22:29:01.133248Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,telvari-evidentiality-lang-learning,lang-learning,1.0,2026-04-12T22:30:28.523071Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,vrendel-templatic-lang-learning,lang-learning,1.0,2026-04-12T22:32:43.837492Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,wukal-tones-lang-learning,lang-learning,0.5,2026-04-12T22:33:58.132478Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,vrelthan-rule-interaction-lang-learning,lang-learning,0.75,2026-04-12T22:34:14.022704Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,threlkav-scope-ergativity-lang-learning,lang-learning,1.0,2026-04-12T22:34:15.047493Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,trenval-bleeding-lang-learning,lang-learning,0.861538,2026-04-12T22:35:17.344949Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,trevkovan-gradation-lang-learning,lang-learning,0.75,2026-04-12T22:36:18.123225Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,arithmetic-next-rf-learning,rf-learning,0.9333,2026-04-13T02:50:26.430166Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,affine-cipher-word-rf-learning,rf-learning,0.8,2026-04-13T02:51:54.48272Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,battleship-1d-rf-learning,rf-learning,1.0,2026-04-13T03:07:46.322101Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,battleship-two-ships-rf-learning,rf-learning,1.0,2026-04-13T03:04:34.202452Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,chebyshev-point-rf-learning,rf-learning,1.0,2026-04-13T10:45:36.587981Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,coin-balance-rf-learning,rf-learning,1.0,2026-04-13T03:02:10.361127Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,bitstring-hamming-rf-learning,rf-learning,0.9489,2026-04-13T03:18:33.82009Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,collatz-length-rf-learning,rf-learning,0.8875,2026-04-13T03:23:35.615608Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,crt-unique-rf-learning,rf-learning,1.0,2026-04-13T03:33:30.707873Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,base7-decode-rf-learning,rf-learning,0.8,2026-04-13T03:48:33.528998Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,cubic-eval-rf-learning,rf-learning,1.0,2026-04-13T03:58:32.43911Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,digitwise-l1-rf-learning,rf-learning,1.0,2026-04-13T04:03:33.750955Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,divisor-count-rf-learning,rf-learning,0.8,2026-04-13T04:08:33.679545Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,fib-like-next-rf-learning,rf-learning,0.85,2026-04-13T04:23:33.312205Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,graph-shortest-path-rf-learning,rf-learning,0.8935,2026-04-13T04:33:34.114346Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,gray-hamming-rf-learning,rf-learning,0.9489,2026-04-13T04:38:34.342602Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,hanoi-two-rf-learning,rf-learning,1.0,2026-04-15T12:56:15.811648Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,manhattan-point-rf-learning,rf-learning,1.0,2026-04-15T22:07:17.314642Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,mastermind-aggregate-rf-learning,rf-learning,0.2,2026-04-15T14:01:15.508069Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,perm-footrule-rf-learning,rf-learning,1.0,2026-04-13T22:06:31.826989Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,recurrence-second-order-rf-learning,rf-learning,0.974,2026-04-13T22:22:06.408598Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,quadratic-root-rf-learning,rf-learning,1.0,2026-04-13T22:32:05.680952Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,product-hotcold-rf-learning,rf-learning,1.0,2026-04-13T22:32:14.060353Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,rule90-step-rf-learning,rf-learning,1.0,2026-04-13T22:37:13.442057Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,shift-cipher-rf-learning,rf-learning,0.8667,2026-04-16T01:42:25.465126Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,sudoku-2x2-rf-learning,rf-learning,1.0,2026-04-13T22:53:15.544134Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,sum-product-xy-rf-learning,rf-learning,1.0,2026-04-13T23:03:16.57528Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,verbal-bandit-rf-learning,rf-learning,1.0,2026-04-13T23:03:14.825698Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,wordle-micro-rf-learning,rf-learning,0.97,2026-04-13T23:03:11.356376Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,xor-subset-hamming-rf-learning,rf-learning,1.0,2026-04-13T23:08:13.744941Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,adaptive-sort-rule-proc-learning,proc-learning,0.8142,2026-04-13T15:47:46.751762Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,dialect-morphology-proc-learning,proc-learning,0.5111,2026-04-16T02:08:00.520935Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,nim-variant-proc-learning,proc-learning,0.6627,2026-04-16T05:13:44.895296Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,opponent-strategy-proc-learning,proc-learning,0.875,2026-04-16T02:00:46.751226Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,packet-filter-proc-learning,proc-learning,0.6051,2026-04-15T22:21:50.829898Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,sql-reverse-engineering-proc-learning,proc-learning,0.8,2026-04-15T22:21:53.849846Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,state-machine-password-proc-learning,proc-learning,0.589,2026-04-15T22:21:55.578751Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,10000,unknown,0.833333,2026-04-15T15:38:16.53839Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,serial-chain-reconstruction-assoc-learning,assoc-learning,1.0,2026-04-15T15:36:11.538796Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,pelvan-agreement-lang-learning,lang-learning,0.563636,2026-04-16T04:15:18.265478Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,kophar-quantity-lang-learning,lang-learning,0.75,2026-04-16T04:12:26.497128Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,mixed-radix-number-lang-learning,lang-learning,1.0,2026-04-16T04:20:38.475018Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,skolvren-polysynthetic-lang-learning,lang-learning,0.55,2026-04-16T06:54:08.129602Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,grammar-induction-proc-learning,proc-learning,0.64,2026-04-16T08:58:27.590402Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,boolean-circuit-proc-learning,proc-learning,0.76,2026-04-16T08:54:19.155224Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,voting-protocol-proc-learning,proc-learning,0.94,2026-04-16T09:04:15.390642Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,lights-out-variant-proc-learning,proc-learning,0.796,2026-04-16T10:01:38.355963Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,dralven-tone-sandhi-lang-learning,lang-learning,0.3,2026-04-16T09:06:46.349322Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,strevoklan-neg-lang-learning,lang-learning,1.0,2026-04-16T08:56:50.625358Z
GLM-5,glm-5,spurious-hue-true-edge-assoc-learning,assoc-learning,0.75,2026-04-09T11:11:03.394789Z
GLM-5,glm-5,inhibitory-summation-assoc-learning,assoc-learning,0.75,2026-04-09T11:16:32.831523Z
GLM-5,glm-5,latent-cross-binding-assoc-learning,assoc-learning,0.333333,2026-04-04T10:27:09.058551Z
GLM-5,glm-5,latent-set-binding-assoc-learning,assoc-learning,0.857143,2026-04-05T00:21:58.563339Z
GLM-5,glm-5,latent-set-variant-assoc-learning,assoc-learning,1.0,2026-04-05T00:22:06.496885Z
GLM-5,glm-5,learned-irrelevance-assoc-learning,assoc-learning,0.875,2026-04-04T11:05:57.828223Z
GLM-5,glm-5,10001,unknown,0.75,2026-04-15T14:05:09.575441Z
GLM-5,glm-5,counterfactual-sequence-rewrite-assoc-learning,assoc-learning,1.0,2026-04-14T16:44:10.693845Z
GLM-5,glm-5,10002,unknown,0.75,2026-04-04T17:32:31.295257Z
GLM-5,glm-5,xor-attribute-binding-assoc-learning,assoc-learning,0.833333,2026-04-05T00:22:57.822346Z
GLM-5,glm-5,blocking-effect-assoc-learning,assoc-learning,0.5,2026-04-04T19:50:43.398487Z
GLM-5,glm-5,temporal-pairing-tnr-assoc-learning,assoc-learning,1.0,2026-04-04T20:14:17.580178Z
GLM-5,glm-5,second-order-extinction-assoc-learning,assoc-learning,1.0,2026-04-04T21:17:03.231389Z
GLM-5,glm-5,retrospective-revaluation-assoc-learning,assoc-learning,0.714286,2026-04-04T21:36:27.406178Z
GLM-5,glm-5,occasion-setting-assoc-learning,assoc-learning,0.928571,2026-04-04T22:19:27.380559Z
GLM-5,glm-5,temporal-pairing-kmp-assoc-learning,assoc-learning,1.0,2026-04-15T14:06:43.225813Z
GLM-5,glm-5,overexpectation-assoc-learning,assoc-learning,0.625,2026-04-10T11:04:20.678594Z
GLM-5,glm-5,sensory-preconditioning-assoc-learning,assoc-learning,1.0,2026-04-10T11:04:25.2299Z
GLM-5,glm-5,digit-cipher-concept-learning,concept-learning,1.0,2026-04-10T14:38:11.077993Z
GLM-5,glm-5,disjunctive-noise-concept-learning,concept-learning,0.7,2026-04-09T17:57:13.158069Z
GLM-5,glm-5,dual-recurrence-concept-learning,concept-learning,0.0,2026-04-10T13:33:53.549811Z
GLM-5,glm-5,encoded-triple-concept-learning,concept-learning,1.0,2026-04-10T13:34:14.604833Z
GLM-5,glm-5,nested-logic-concept-learning,concept-learning,0.75,2026-04-10T00:31:06.774568Z
GLM-5,glm-5,positional-encode-concept-learning,concept-learning,0.25,2026-04-10T00:32:27.449261Z
GLM-5,glm-5,layered-transform-concept-learning,concept-learning,0.9625,2026-04-12T00:33:44.172674Z
GLM-5,glm-5,consonant-clusters-concept-learning,concept-learning,0.5,2026-04-12T01:16:56.294867Z
GLM-5,glm-5,modular-subsequence-concept-learning,concept-learning,0.0,2026-04-12T01:18:41.099082Z
GLM-5,glm-5,semantic-override-concept-learning,concept-learning,0.75,2026-04-10T15:25:36.510738Z
GLM-5,glm-5,positional-mapping-concept-learning,concept-learning,1.0,2026-04-10T12:45:28.480802Z
GLM-5,glm-5,relational-pairs-concept-learning,concept-learning,0.6,2026-04-10T12:45:49.645847Z
GLM-5,glm-5,state-machine-concept-learning,concept-learning,0.709091,2026-04-10T13:07:27.134941Z
GLM-5,glm-5,triple-parity-concept-learning,concept-learning,0.25,2026-04-10T12:48:56.874189Z
GLM-5,glm-5,vowel-rotation-concept-learning,concept-learning,0.75,2026-04-10T15:25:29.702604Z
GLM-5,glm-5,violation-counter-concept-learning,concept-learning,0.0,2026-04-10T13:36:40.555452Z
GLM-5,glm-5,interleave-reverse-concept-learning,concept-learning,1.0,2026-04-10T14:49:25.982902Z
GLM-5,glm-5,grid-transform-concept-learning,concept-learning,0.0,2026-04-10T14:53:19.424163Z
GLM-5,glm-5,agglutinative-morphology-obs-learning,obs-learning,0.5,2026-04-12T01:22:12.835122Z
GLM-5,glm-5,affine-transform-chain-obs-learning,obs-learning,0.0,2026-04-12T11:37:21.495391Z
GLM-5,glm-5,arithmetic-entropy-coding-obs-learning,obs-learning,1.0,2026-04-12T01:24:47.93847Z
GLM-5,glm-5,lfu-cache-eviction-obs-learning,obs-learning,0.0,2026-04-12T11:36:29.182389Z
GLM-5,glm-5,auction-mechanism-second-price-obs-learning,obs-learning,1.0,2026-04-12T02:03:02.463887Z
GLM-5,glm-5,codon-table-translation-obs-learning,obs-learning,1.0,2026-04-12T01:33:14.392415Z
GLM-5,glm-5,flow-network-capacity-obs-learning,obs-learning,0.0,2026-04-15T23:28:30.946961Z
GLM-5,glm-5,feistel-cipher-round-obs-learning,obs-learning,0.0,2026-04-15T23:29:09.133461Z
GLM-5,glm-5,hidden-matrix-fill-obs-learning,obs-learning,1.0,2026-04-12T01:41:01.913491Z
GLM-5,glm-5,hidden-damping-physics-obs-learning,obs-learning,1.0,2026-04-12T01:43:46.082801Z
GLM-5,glm-5,singleton-gate-local-max-obs-learning,obs-learning,0.5,2026-04-15T23:33:22.887714Z
GLM-5,glm-5,linear-feedback-shift-register-obs-learning,obs-learning,0.75,2026-04-12T10:47:49.66823Z
GLM-5,glm-5,lattice-meet-join-obs-learning,obs-learning,0.75,2026-04-12T10:46:09.202595Z
GLM-5,glm-5,phonological-alternation-harmony-obs-learning,obs-learning,1.0,2026-04-12T00:53:25.063488Z
GLM-5,glm-5,hidden-token-filter-obs-learning,obs-learning,0.75,2026-04-12T01:10:42.0847Z
GLM-5,glm-5,sigil-naming-obs-learning,obs-learning,1.0,2026-04-12T01:58:12.648843Z
GLM-5,glm-5,pushdown-automaton-inference-obs-learning,obs-learning,1.0,2026-04-12T01:59:04.534019Z
GLM-5,glm-5,mealy-machine-output-obs-learning,obs-learning,0.75,2026-04-12T10:43:05.0576Z
GLM-5,glm-5,pipeline-hazard-stall-counting-obs-learning,obs-learning,1.0,2026-04-12T00:52:05.463446Z
GLM-5,glm-5,hidden-attribute-rule-obs-learning,obs-learning,0.75,2026-04-12T10:08:41.194045Z
GLM-5,glm-5,shapley-values-cooperative-game-obs-learning,obs-learning,1.0,2026-04-12T01:06:37.85673Z
GLM-5,glm-5,ring-operations-hidden-carry-obs-learning,obs-learning,1.0,2026-04-12T01:05:53.546158Z
GLM-5,glm-5,hidden-modal-logic-kripke-obs-learning,obs-learning,0.0,2026-04-15T22:15:14.907054Z
GLM-5,glm-5,syntax-tree-rewrite-obs-learning,obs-learning,1.0,2026-04-12T01:03:20.194257Z
GLM-5,glm-5,regex-intersection-membership-obs-learning,obs-learning,1.0,2026-04-12T00:49:55.491849Z
GLM-5,glm-5,hidden-modal-logic-kripke2-obs-learning,obs-learning,0.0,2026-04-16T00:21:52.459378Z
GLM-5,glm-5,hidden-priority-order-obs-learning,obs-learning,0.0,2026-04-16T00:43:30.718933Z
GLM-5,glm-5,titration-curve-diprotic-obs-learning,obs-learning,0.0,2026-04-16T00:17:18.856013Z
GLM-5,glm-5,finite-state-transducer-obs-learning,obs-learning,1.0,2026-04-12T10:00:52.700419Z
GLM-5,glm-5,two-counter-machine-obs-learning,obs-learning,0.666667,2026-04-12T10:00:24.34638Z
GLM-5,glm-5,dimval-metathesis-lang-learning,lang-learning,0.676923,2026-04-12T23:00:47.26727Z
GLM-5,glm-5,drelkovak-harmony-lang-learning,lang-learning,0.72,2026-04-12T23:00:47.217553Z
GLM-5,glm-5,drelvak-reduplication-lang-learning,lang-learning,0.589286,2026-04-13T00:11:06.034078Z
GLM-5,glm-5,grelkan-suppletion-lang-learning,lang-learning,0.64,2026-04-13T02:13:25.831521Z
GLM-5,glm-5,drafnelt-switch-reference-lang-learning,lang-learning,1.0,2026-04-12T23:03:56.692983Z
GLM-5,glm-5,kelstran-tone-lang-learning,lang-learning,0.92,2026-04-12T23:58:27.659305Z
GLM-5,glm-5,prentova-allomorphy-wugtest-lang-learning,lang-learning,0.614286,2026-04-12T23:49:00.863174Z
GLM-5,glm-5,skelth-allomorph-lang-learning,lang-learning,0.653571,2026-04-12T23:48:58.423543Z
