task,model,phase,round,score
adaptive-sort-rule,GLM-5,practice,3,1.0
adaptive-sort-rule,GLM-5,practice,4,1.0
adaptive-sort-rule,GLM-5,practice,5,1.0
adaptive-sort-rule,GLM-5,transfer,1,1.0
adaptive-sort-rule,GLM-5,transfer,2,1.0
adaptive-sort-rule,GLM-5,transfer,3,1.0
adaptive-sort-rule,GLM-5,transfer,4,1.0
adaptive-sort-rule,GPT-5.4,practice,1,0.5091
adaptive-sort-rule,GPT-5.4,practice,2,0.5091
adaptive-sort-rule,GPT-5.4,practice,3,0.6727
adaptive-sort-rule,GPT-5.4,practice,4,1.0
adaptive-sort-rule,GPT-5.4,practice,5,0.6727
adaptive-sort-rule,GPT-5.4,transfer,1,0.0
adaptive-sort-rule,GPT-5.4,transfer,2,0.0
adaptive-sort-rule,GPT-5.4,transfer,3,0.0
adaptive-sort-rule,GPT-5.4,transfer,4,0.0
adaptive-sort-rule,GPT-mini,practice,1,0.5091
adaptive-sort-rule,GPT-mini,practice,2,0.5091
adaptive-sort-rule,GPT-mini,practice,3,0.5909
adaptive-sort-rule,GPT-mini,practice,4,0.1818
adaptive-sort-rule,GPT-mini,practice,5,0.6727
adaptive-sort-rule,GPT-mini,transfer,1,0.0
adaptive-sort-rule,GPT-mini,transfer,2,0.0
adaptive-sort-rule,GPT-mini,transfer,3,0.0
adaptive-sort-rule,GPT-mini,transfer,4,0.0
adaptive-sort-rule,GPT-nano,practice,1,0.0
adaptive-sort-rule,GPT-nano,practice,2,0.5091
adaptive-sort-rule,GPT-nano,practice,3,0.5091
adaptive-sort-rule,GPT-nano,practice,4,0.9182
adaptive-sort-rule,GPT-nano,practice,5,0.6727
adaptive-sort-rule,GPT-nano,transfer,1,0.0
adaptive-sort-rule,GPT-nano,transfer,2,0.0
adaptive-sort-rule,GPT-nano,transfer,3,0.0
adaptive-sort-rule,GPT-nano,transfer,4,0.0
adaptive-sort-rule,G-Flash,practice,1,0.5909
adaptive-sort-rule,G-Flash,practice,2,1.0
adaptive-sort-rule,G-Flash,practice,3,1.0
adaptive-sort-rule,G-Flash,practice,4,1.0
adaptive-sort-rule,G-Flash,practice,5,1.0
adaptive-sort-rule,G-Flash,transfer,1,1.0
adaptive-sort-rule,G-Flash,transfer,2,1.0
adaptive-sort-rule,G-Flash,transfer,3,0.0
adaptive-sort-rule,G-Flash,transfer,4,1.0
adaptive-sort-rule,G-Lite,practice,1,0.0
adaptive-sort-rule,G-Lite,practice,2,0.5091
adaptive-sort-rule,G-Lite,practice,3,0.5909
adaptive-sort-rule,G-Lite,practice,4,0.1818
adaptive-sort-rule,G-Lite,practice,5,0.4273
adaptive-sort-rule,G-Lite,transfer,1,0.0
adaptive-sort-rule,G-Lite,transfer,2,0.0
adaptive-sort-rule,G-Lite,transfer,3,0.0
adaptive-sort-rule,G-Lite,transfer,4,0.0
adaptive-sort-rule,G-Pro,practice,1,0.8364
adaptive-sort-rule,G-Pro,practice,2,1.0
adaptive-sort-rule,G-Pro,practice,3,1.0
adaptive-sort-rule,G-Pro,practice,4,1.0
adaptive-sort-rule,G-Pro,practice,5,1.0
adaptive-sort-rule,G-Pro,transfer,1,1.0
adaptive-sort-rule,G-Pro,transfer,2,1.0
adaptive-sort-rule,G-Pro,transfer,3,0.0
adaptive-sort-rule,G-Pro,transfer,4,1.0
adaptive-sort-rule,Gemma,practice,1,0.5909
adaptive-sort-rule,Gemma,practice,2,0.5091
adaptive-sort-rule,Gemma,practice,3,0.5909
adaptive-sort-rule,Gemma,practice,4,0.6727
adaptive-sort-rule,Gemma,practice,5,0.5091
adaptive-sort-rule,Gemma,transfer,1,0.0
adaptive-sort-rule,Gemma,transfer,2,0.0
adaptive-sort-rule,Gemma,transfer,3,0.0
adaptive-sort-rule,Gemma,transfer,4,0.0
adaptive-sort-rule,Qwen-I,practice,1,0.4273
adaptive-sort-rule,Qwen-I,practice,2,0.2636
adaptive-sort-rule,Qwen-I,practice,3,0.6727
adaptive-sort-rule,Qwen-I,practice,4,0.9182
adaptive-sort-rule,Qwen-I,practice,5,0.1818
adaptive-sort-rule,Qwen-I,transfer,1,0.0
adaptive-sort-rule,Qwen-I,transfer,2,0.0
adaptive-sort-rule,Qwen-I,transfer,3,0.0
adaptive-sort-rule,Qwen-I,transfer,4,0.0
adaptive-sort-rule,Qwen-T,practice,1,0.0
adaptive-sort-rule,Qwen-T,practice,2,0.0
adaptive-sort-rule,Qwen-T,practice,3,0.0
adaptive-sort-rule,Qwen-T,practice,4,0.0
adaptive-sort-rule,Qwen-T,practice,5,0.0
adaptive-sort-rule,Qwen-T,transfer,1,0.0
adaptive-sort-rule,Qwen-T,transfer,2,0.0
adaptive-sort-rule,Qwen-T,transfer,3,0.0
adaptive-sort-rule,Qwen-T,transfer,4,0.0
boolean-circuit,Claude Haiku,practice,1,0.1
boolean-circuit,Claude Haiku,practice,2,0.0
boolean-circuit,Claude Haiku,practice,3,0.0
boolean-circuit,Claude Haiku,practice,4,0.3
boolean-circuit,Claude Haiku,practice,5,0.2
boolean-circuit,Claude Haiku,transfer,1,0.0
boolean-circuit,Claude Haiku,transfer,2,0.0
boolean-circuit,Claude Haiku,transfer,3,0.0
boolean-circuit,Claude Haiku,transfer,4,0.0
boolean-circuit,Claude Opus,practice,1,0.1
boolean-circuit,Claude Opus,practice,2,0.0
boolean-circuit,Claude Opus,practice,3,0.0
boolean-circuit,Claude Opus,practice,4,0.2
boolean-circuit,Claude Opus,practice,5,0.0
boolean-circuit,Claude Opus,transfer,1,0.0
boolean-circuit,Claude Opus,transfer,2,0.0
boolean-circuit,Claude Opus,transfer,3,0.0
boolean-circuit,Claude Opus,transfer,4,0.0
boolean-circuit,Claude Sonnet,practice,1,0.1
boolean-circuit,Claude Sonnet,practice,2,0.1
boolean-circuit,Claude Sonnet,practice,3,0.1
boolean-circuit,Claude Sonnet,practice,4,0.1
boolean-circuit,Claude Sonnet,practice,5,0.0
boolean-circuit,Claude Sonnet,transfer,1,0.0
boolean-circuit,Claude Sonnet,transfer,2,1.0
boolean-circuit,Claude Sonnet,transfer,3,0.0
boolean-circuit,Claude Sonnet,transfer,4,0.0
boolean-circuit,DeepSeek,practice,1,0.5
boolean-circuit,DeepSeek,practice,2,0.2
boolean-circuit,DeepSeek,practice,3,0.4
boolean-circuit,DeepSeek,practice,4,0.1
boolean-circuit,DeepSeek,practice,5,0.1
boolean-circuit,DeepSeek,transfer,1,0.0
boolean-circuit,DeepSeek,transfer,2,0.0
boolean-circuit,DeepSeek,transfer,3,0.0
boolean-circuit,DeepSeek,transfer,4,0.0
boolean-circuit,GLM-5,practice,1,0.6
boolean-circuit,GLM-5,practice,2,0.7
boolean-circuit,GLM-5,practice,3,0.6
boolean-circuit,GLM-5,practice,4,0.6
boolean-circuit,GLM-5,practice,5,0.2
boolean-circuit,GLM-5,transfer,1,0.0
boolean-circuit,GLM-5,transfer,2,0.0
boolean-circuit,GLM-5,transfer,3,0.0
boolean-circuit,GLM-5,transfer,4,0.0
boolean-circuit,GPT-5.4,practice,1,0.0
boolean-circuit,GPT-5.4,practice,2,0.0
boolean-circuit,GPT-5.4,practice,3,0.0
boolean-circuit,GPT-5.4,practice,4,0.0
boolean-circuit,GPT-5.4,practice,5,0.0
boolean-circuit,GPT-5.4,transfer,1,0.0
boolean-circuit,GPT-5.4,transfer,2,0.0
boolean-circuit,GPT-5.4,transfer,3,0.0
boolean-circuit,GPT-5.4,transfer,4,0.0
boolean-circuit,GPT-mini,practice,1,0.0
boolean-circuit,GPT-mini,practice,2,0.0
boolean-circuit,GPT-mini,practice,3,0.0
boolean-circuit,GPT-mini,practice,4,0.0
boolean-circuit,GPT-mini,practice,5,0.0
boolean-circuit,GPT-mini,transfer,1,0.0
boolean-circuit,GPT-mini,transfer,2,0.0
boolean-circuit,GPT-mini,transfer,3,0.0
boolean-circuit,GPT-mini,transfer,4,0.0
boolean-circuit,GPT-nano,practice,1,0.0
boolean-circuit,GPT-nano,practice,2,0.0
boolean-circuit,GPT-nano,practice,3,0.0
boolean-circuit,GPT-nano,practice,4,0.0
boolean-circuit,GPT-nano,practice,5,0.0
boolean-circuit,GPT-nano,transfer,1,0.0
boolean-circuit,GPT-nano,transfer,2,0.0
boolean-circuit,GPT-nano,transfer,3,0.0
boolean-circuit,GPT-nano,transfer,4,0.0
boolean-circuit,G-Flash,practice,1,0.4
boolean-circuit,G-Flash,practice,2,0.5
boolean-circuit,G-Flash,practice,3,0.7
boolean-circuit,G-Flash,practice,4,0.6
boolean-circuit,G-Flash,practice,5,0.4
boolean-circuit,G-Flash,transfer,1,0.0
boolean-circuit,G-Flash,transfer,2,0.0
boolean-circuit,G-Flash,transfer,3,0.0
boolean-circuit,G-Flash,transfer,4,0.0
boolean-circuit,G-Lite,practice,1,0.7
boolean-circuit,G-Lite,practice,2,0.8
boolean-circuit,G-Lite,practice,3,0.0
boolean-circuit,G-Lite,practice,4,0.8
boolean-circuit,G-Lite,practice,5,0.2
boolean-circuit,G-Lite,transfer,1,0.0
boolean-circuit,G-Lite,transfer,2,0.0
boolean-circuit,G-Lite,transfer,3,0.0
boolean-circuit,G-Lite,transfer,4,0.0
boolean-circuit,G-Pro,practice,1,0.6
boolean-circuit,G-Pro,practice,2,0.5
boolean-circuit,G-Pro,practice,3,0.6
boolean-circuit,G-Pro,practice,4,0.7
boolean-circuit,G-Pro,practice,5,0.3
boolean-circuit,G-Pro,transfer,1,0.0
boolean-circuit,G-Pro,transfer,2,0.0
boolean-circuit,G-Pro,transfer,3,0.0
boolean-circuit,G-Pro,transfer,4,0.0
boolean-circuit,G-Flash-3,practice,1,0.52
boolean-circuit,G-Flash-3,practice,2,0.52
boolean-circuit,G-Flash-3,practice,3,0.52
boolean-circuit,G-Flash-3,practice,4,0.52
boolean-circuit,G-Flash-3,practice,5,0.52
boolean-circuit,Gemma,practice,1,0.0
boolean-circuit,Gemma,practice,2,0.1
boolean-circuit,Gemma,practice,3,0.0
boolean-circuit,Gemma,practice,4,0.2
boolean-circuit,Gemma,practice,5,0.0
boolean-circuit,Gemma,transfer,1,0.0
boolean-circuit,Gemma,transfer,2,0.0
boolean-circuit,Gemma,transfer,3,0.0
boolean-circuit,Gemma,transfer,4,0.0
boolean-circuit,Qwen-I,practice,1,0.0
boolean-circuit,Qwen-I,practice,2,0.0
boolean-circuit,Qwen-I,practice,3,0.0
boolean-circuit,Qwen-I,practice,4,0.0
boolean-circuit,Qwen-I,practice,5,0.0
boolean-circuit,Qwen-I,transfer,1,0.0
boolean-circuit,Qwen-I,transfer,2,0.0
boolean-circuit,Qwen-I,transfer,3,0.0
boolean-circuit,Qwen-I,transfer,4,0.0
boolean-circuit,Qwen-T,practice,1,0.8
boolean-circuit,Qwen-T,practice,2,0.1
boolean-circuit,Qwen-T,practice,3,0.6
boolean-circuit,Qwen-T,practice,4,0.6
boolean-circuit,Qwen-T,practice,5,0.0
boolean-circuit,Qwen-T,transfer,1,0.0
boolean-circuit,Qwen-T,transfer,2,0.0
boolean-circuit,Qwen-T,transfer,3,0.0
boolean-circuit,Qwen-T,transfer,4,0.0
dialect-morphology,Claude Haiku,practice,1,0.2286
dialect-morphology,Claude Haiku,practice,2,1.0
dialect-morphology,Claude Haiku,practice,3,1.0
dialect-morphology,Claude Haiku,practice,4,1.0
dialect-morphology,Claude Haiku,practice,5,1.0
dialect-morphology,Claude Haiku,transfer,1,0.0
dialect-morphology,Claude Haiku,transfer,2,0.0
dialect-morphology,Claude Haiku,transfer,3,0.0
dialect-morphology,Claude Haiku,transfer,4,0.0
dialect-morphology,Claude Opus,practice,1,0.1
dialect-morphology,Claude Opus,practice,2,1.0
dialect-morphology,Claude Opus,practice,3,0.4857
dialect-morphology,Claude Opus,practice,4,0.1
dialect-morphology,Claude Opus,practice,5,0.2286
dialect-morphology,Claude Opus,transfer,1,0.0
dialect-morphology,Claude Opus,transfer,2,0.0
dialect-morphology,Claude Opus,transfer,3,0.0
dialect-morphology,Claude Opus,transfer,4,0.0
dialect-morphology,Claude Sonnet,practice,1,0.1
dialect-morphology,Claude Sonnet,practice,2,0.8714
dialect-morphology,Claude Sonnet,practice,3,0.7429
dialect-morphology,Claude Sonnet,practice,4,0.6143
dialect-morphology,Claude Sonnet,practice,5,0.8714
dialect-morphology,Claude Sonnet,transfer,1,0.0
dialect-morphology,Claude Sonnet,transfer,2,0.0
dialect-morphology,Claude Sonnet,transfer,3,0.0
dialect-morphology,Claude Sonnet,transfer,4,0.0
dialect-morphology,DeepSeek,practice,1,0.7429
dialect-morphology,DeepSeek,practice,2,0.7429
dialect-morphology,DeepSeek,practice,3,0.8714
dialect-morphology,DeepSeek,practice,4,0.7429
dialect-morphology,DeepSeek,practice,5,0.7429
dialect-morphology,DeepSeek,transfer,1,0.0
dialect-morphology,DeepSeek,transfer,2,0.0
dialect-morphology,DeepSeek,transfer,3,0.0
dialect-morphology,DeepSeek,transfer,4,0.0
dialect-morphology,GLM-5,practice,1,0.4857
dialect-morphology,GLM-5,practice,2,0.8714
dialect-morphology,GLM-5,practice,3,1.0
dialect-morphology,GLM-5,practice,4,0.8714
dialect-morphology,GLM-5,practice,5,1.0
dialect-morphology,GLM-5,transfer,1,0.0
dialect-morphology,GLM-5,transfer,2,0.0
dialect-morphology,GLM-5,transfer,3,0.0
dialect-morphology,GLM-5,transfer,4,0.0
dialect-morphology,GPT-5.4,practice,1,1.0
dialect-morphology,GPT-5.4,practice,2,1.0
dialect-morphology,GPT-5.4,practice,3,1.0
dialect-morphology,GPT-5.4,practice,4,1.0
dialect-morphology,GPT-5.4,practice,5,1.0
dialect-morphology,GPT-5.4,transfer,1,0.0
dialect-morphology,GPT-5.4,transfer,2,0.0
dialect-morphology,GPT-5.4,transfer,3,0.0
dialect-morphology,GPT-5.4,transfer,4,0.0
dialect-morphology,GPT-mini,practice,1,0.8714
dialect-morphology,GPT-mini,practice,2,1.0
dialect-morphology,GPT-mini,practice,3,1.0
dialect-morphology,GPT-mini,practice,4,1.0
dialect-morphology,GPT-mini,practice,5,1.0
dialect-morphology,GPT-mini,transfer,1,0.0
dialect-morphology,GPT-mini,transfer,2,0.0
dialect-morphology,GPT-mini,transfer,3,0.0
dialect-morphology,GPT-mini,transfer,4,0.0
dialect-morphology,GPT-nano,practice,1,1.0
dialect-morphology,GPT-nano,practice,2,1.0
dialect-morphology,GPT-nano,practice,3,1.0
dialect-morphology,GPT-nano,practice,4,1.0
dialect-morphology,GPT-nano,practice,5,1.0
dialect-morphology,GPT-nano,transfer,1,0.0
dialect-morphology,GPT-nano,transfer,2,0.0
dialect-morphology,GPT-nano,transfer,3,0.0
dialect-morphology,GPT-nano,transfer,4,0.0
dialect-morphology,G-Flash,practice,1,0.8714
dialect-morphology,G-Flash,practice,2,1.0
dialect-morphology,G-Flash,practice,3,1.0
dialect-morphology,G-Flash,practice,4,1.0
dialect-morphology,G-Flash,practice,5,1.0
dialect-morphology,G-Flash,transfer,1,0.0
dialect-morphology,G-Flash,transfer,2,0.0
dialect-morphology,G-Flash,transfer,3,0.0
dialect-morphology,G-Flash,transfer,4,0.0
dialect-morphology,G-Lite,practice,1,0.8714
dialect-morphology,G-Lite,practice,2,1.0
dialect-morphology,G-Lite,practice,3,1.0
dialect-morphology,G-Lite,practice,4,1.0
dialect-morphology,G-Lite,practice,5,1.0
dialect-morphology,G-Lite,transfer,1,0.0
dialect-morphology,G-Lite,transfer,2,0.0
dialect-morphology,G-Lite,transfer,3,0.0
dialect-morphology,G-Lite,transfer,4,0.0
dialect-morphology,G-Pro,practice,1,0.8714
dialect-morphology,G-Pro,practice,2,1.0
dialect-morphology,G-Pro,practice,3,1.0
dialect-morphology,G-Pro,practice,4,1.0
dialect-morphology,G-Pro,practice,5,0.7429
dialect-morphology,G-Pro,transfer,1,0.0
dialect-morphology,G-Pro,transfer,2,0.0
dialect-morphology,G-Pro,transfer,3,0.0
dialect-morphology,G-Pro,transfer,4,0.0
dialect-morphology,Gemma,practice,1,0.0
dialect-morphology,Gemma,practice,2,0.4857
dialect-morphology,Gemma,practice,3,0.1
dialect-morphology,Gemma,practice,4,0.1
dialect-morphology,Gemma,practice,5,0.2286
dialect-morphology,Gemma,transfer,1,0.0
dialect-morphology,Gemma,transfer,2,0.0
dialect-morphology,Gemma,transfer,3,0.0
dialect-morphology,Gemma,transfer,4,0.0
dialect-morphology,Qwen-I,practice,1,0.1
dialect-morphology,Qwen-I,practice,2,0.7429
dialect-morphology,Qwen-I,practice,3,0.8714
dialect-morphology,Qwen-I,practice,4,0.8714
dialect-morphology,Qwen-I,practice,5,0.8714
dialect-morphology,Qwen-I,transfer,1,0.0
dialect-morphology,Qwen-I,transfer,2,0.0
dialect-morphology,Qwen-I,transfer,3,0.0
dialect-morphology,Qwen-I,transfer,4,0.0
dialect-morphology,Qwen-T,practice,1,1.0
dialect-morphology,Qwen-T,practice,2,1.0
dialect-morphology,Qwen-T,practice,3,1.0
dialect-morphology,Qwen-T,practice,4,1.0
dialect-morphology,Qwen-T,practice,5,1.0
dialect-morphology,Qwen-T,transfer,1,0.0
dialect-morphology,Qwen-T,transfer,2,0.0
dialect-morphology,Qwen-T,transfer,3,0.0
dialect-morphology,Qwen-T,transfer,4,0.0
grammar-induction,Claude Haiku,practice,1,0.0
grammar-induction,Claude Haiku,practice,2,0.0
grammar-induction,Claude Haiku,practice,3,0.0
grammar-induction,Claude Haiku,practice,4,0.0
grammar-induction,Claude Haiku,practice,5,0.0
grammar-induction,Claude Haiku,transfer,1,0.0
grammar-induction,Claude Haiku,transfer,2,0.0
grammar-induction,Claude Haiku,transfer,3,0.0
grammar-induction,Claude Haiku,transfer,4,0.0
grammar-induction,Claude Opus,practice,1,0.0
grammar-induction,Claude Opus,practice,2,0.0
grammar-induction,Claude Opus,practice,3,0.1
grammar-induction,Claude Opus,practice,4,0.0
grammar-induction,Claude Opus,practice,5,0.0
grammar-induction,Claude Opus,transfer,1,0.0
grammar-induction,Claude Opus,transfer,2,0.0
grammar-induction,Claude Opus,transfer,3,0.0
grammar-induction,Claude Opus,transfer,4,1.0
grammar-induction,Claude Sonnet,practice,1,0.0
grammar-induction,Claude Sonnet,practice,2,0.0
grammar-induction,Claude Sonnet,practice,3,0.1
grammar-induction,Claude Sonnet,practice,4,0.0
grammar-induction,Claude Sonnet,practice,5,0.0
grammar-induction,Claude Sonnet,transfer,1,0.0
grammar-induction,Claude Sonnet,transfer,2,0.0
grammar-induction,Claude Sonnet,transfer,3,0.0
grammar-induction,Claude Sonnet,transfer,4,1.0
grammar-induction,DeepSeek,practice,1,0.0
grammar-induction,DeepSeek,practice,2,0.0
grammar-induction,DeepSeek,practice,3,0.0
grammar-induction,DeepSeek,practice,4,0.0
grammar-induction,DeepSeek,practice,5,0.0
grammar-induction,DeepSeek,transfer,1,0.0
grammar-induction,DeepSeek,transfer,2,0.0
grammar-induction,DeepSeek,transfer,3,0.0
grammar-induction,DeepSeek,transfer,4,0.0
grammar-induction,GLM-5,practice,1,0.0
grammar-induction,GLM-5,practice,2,0.3769
grammar-induction,GLM-5,practice,3,0.1692
grammar-induction,GLM-5,practice,4,0.1
grammar-induction,GLM-5,practice,5,0.1692
grammar-induction,GLM-5,transfer,1,1.0
grammar-induction,GLM-5,transfer,2,1.0
grammar-induction,GLM-5,transfer,3,0.0
grammar-induction,GLM-5,transfer,4,1.0
grammar-induction,GPT-5.4,practice,1,0.0
grammar-induction,GPT-5.4,practice,2,0.0
grammar-induction,GPT-5.4,practice,3,0.2385
grammar-induction,GPT-5.4,practice,4,0.0
grammar-induction,GPT-5.4,practice,5,0.0
grammar-induction,GPT-5.4,transfer,1,0.0
grammar-induction,GPT-5.4,transfer,2,0.0
grammar-induction,GPT-5.4,transfer,3,0.0
grammar-induction,GPT-5.4,transfer,4,1.0
grammar-induction,GPT-mini,practice,1,0.0
grammar-induction,GPT-mini,practice,2,0.0
grammar-induction,GPT-mini,practice,3,0.7231
grammar-induction,GPT-mini,practice,4,0.0
grammar-induction,GPT-mini,practice,5,0.0
grammar-induction,GPT-mini,transfer,1,0.0
grammar-induction,GPT-mini,transfer,2,0.0
grammar-induction,GPT-mini,transfer,3,0.0
grammar-induction,GPT-mini,transfer,4,0.0
grammar-induction,GPT-nano,practice,1,0.0
grammar-induction,GPT-nano,practice,2,0.0
grammar-induction,GPT-nano,practice,3,0.0
grammar-induction,GPT-nano,practice,4,0.0
grammar-induction,GPT-nano,practice,5,0.0
grammar-induction,GPT-nano,transfer,1,0.0
grammar-induction,GPT-nano,transfer,2,0.0
grammar-induction,GPT-nano,transfer,3,0.0
grammar-induction,GPT-nano,transfer,4,0.0
grammar-induction,G-Flash,practice,1,0.0
grammar-induction,G-Flash,practice,2,0.0
grammar-induction,G-Flash,practice,3,0.0
grammar-induction,G-Flash,practice,4,0.0
grammar-induction,G-Flash,practice,5,0.1
grammar-induction,G-Flash,transfer,1,0.0
grammar-induction,G-Flash,transfer,2,1.0
grammar-induction,G-Flash,transfer,3,0.0
grammar-induction,G-Flash,transfer,4,1.0
grammar-induction,G-Lite,practice,1,0.0
grammar-induction,G-Lite,practice,2,0.0
grammar-induction,G-Lite,practice,3,0.5846
grammar-induction,G-Lite,practice,4,0.0
grammar-induction,G-Lite,practice,5,0.0
grammar-induction,G-Lite,transfer,1,0.0
grammar-induction,G-Lite,transfer,2,0.0
grammar-induction,G-Lite,transfer,3,0.0
grammar-induction,G-Lite,transfer,4,1.0
grammar-induction,G-Pro,practice,1,0.1
grammar-induction,G-Pro,practice,2,0.5154
grammar-induction,G-Pro,practice,3,0.5154
grammar-induction,G-Pro,practice,4,0.2385
grammar-induction,G-Pro,practice,5,0.3077
grammar-induction,G-Pro,transfer,1,1.0
grammar-induction,G-Pro,transfer,2,1.0
grammar-induction,G-Pro,transfer,3,1.0
grammar-induction,G-Pro,transfer,4,1.0
grammar-induction,G-Flash-3,practice,1,0.0
grammar-induction,G-Flash-3,practice,2,0.1
grammar-induction,G-Flash-3,practice,3,0.0
grammar-induction,G-Flash-3,practice,4,0.1
grammar-induction,G-Flash-3,practice,5,0.0
grammar-induction,Gemma,practice,1,0.0
grammar-induction,Gemma,practice,2,0.0
grammar-induction,Gemma,practice,3,0.0
grammar-induction,Gemma,practice,4,0.0
grammar-induction,Gemma,practice,5,0.0
grammar-induction,Gemma,transfer,1,0.0
grammar-induction,Gemma,transfer,2,0.0
grammar-induction,Gemma,transfer,3,0.0
grammar-induction,Gemma,transfer,4,0.0
grammar-induction,Qwen-I,practice,1,0.0
grammar-induction,Qwen-I,practice,2,0.0
grammar-induction,Qwen-I,practice,3,0.0
grammar-induction,Qwen-I,practice,4,0.0
grammar-induction,Qwen-I,practice,5,0.0
grammar-induction,Qwen-I,transfer,1,0.0
grammar-induction,Qwen-I,transfer,2,0.0
grammar-induction,Qwen-I,transfer,3,0.0
grammar-induction,Qwen-I,transfer,4,0.0
grammar-induction,Qwen-T,practice,1,0.0
grammar-induction,Qwen-T,practice,2,0.5846
grammar-induction,Qwen-T,practice,3,0.3769
grammar-induction,Qwen-T,practice,4,0.0
grammar-induction,Qwen-T,practice,5,0.0
grammar-induction,Qwen-T,transfer,1,0.0
grammar-induction,Qwen-T,transfer,2,0.0
grammar-induction,Qwen-T,transfer,3,0.0
grammar-induction,Qwen-T,transfer,4,1.0
lights-out-variant,Claude Haiku,practice,1,0.52
lights-out-variant,Claude Haiku,practice,2,0.0
lights-out-variant,Claude Haiku,practice,3,0.0
lights-out-variant,Claude Haiku,practice,4,0.0
lights-out-variant,Claude Haiku,practice,5,0.0
lights-out-variant,Claude Opus,practice,1,0.0
lights-out-variant,Claude Opus,practice,2,0.0
lights-out-variant,Claude Opus,practice,3,0.46
lights-out-variant,Claude Opus,practice,4,0.0
lights-out-variant,Claude Opus,practice,5,0.0
lights-out-variant,Claude Sonnet,practice,1,0.0
lights-out-variant,Claude Sonnet,practice,2,0.0
lights-out-variant,Claude Sonnet,practice,3,0.7
lights-out-variant,Claude Sonnet,practice,4,0.4
lights-out-variant,Claude Sonnet,practice,5,0.58
lights-out-variant,DeepSeek,practice,1,0.0
lights-out-variant,DeepSeek,practice,2,0.0
lights-out-variant,DeepSeek,practice,3,0.0
lights-out-variant,DeepSeek,practice,4,0.0
lights-out-variant,DeepSeek,practice,5,0.0
lights-out-variant,GLM-5,practice,1,0.52
lights-out-variant,GLM-5,practice,2,0.16
lights-out-variant,GLM-5,practice,3,0.0
lights-out-variant,GLM-5,practice,4,0.0
lights-out-variant,GLM-5,practice,5,0.58
lights-out-variant,GPT-5.4,practice,1,0.0
lights-out-variant,GPT-5.4,practice,2,0.0
lights-out-variant,GPT-5.4,practice,3,0.0
lights-out-variant,GPT-5.4,practice,4,0.0
lights-out-variant,GPT-5.4,practice,5,0.0
lights-out-variant,GPT-mini,practice,1,0.0
lights-out-variant,GPT-mini,practice,2,0.0
lights-out-variant,GPT-mini,practice,3,0.0
lights-out-variant,GPT-mini,practice,4,0.0
lights-out-variant,GPT-mini,practice,5,0.0
lights-out-variant,GPT-nano,practice,1,0.0
lights-out-variant,GPT-nano,practice,2,0.0
lights-out-variant,GPT-nano,practice,3,0.0
lights-out-variant,GPT-nano,practice,4,0.0
lights-out-variant,GPT-nano,practice,5,0.0
lights-out-variant,G-Flash,practice,1,0.64
lights-out-variant,G-Flash,practice,2,0.64
lights-out-variant,G-Flash,practice,3,0.7
lights-out-variant,G-Flash,practice,4,0.4
lights-out-variant,G-Flash,practice,5,0.58
lights-out-variant,G-Lite,practice,1,0.64
lights-out-variant,G-Lite,practice,2,0.64
