task,Claude Haiku 4.5,Claude Opus 4.6,Claude Sonnet 4.6,DeepSeek V3.2,GLM-5,GPT-5.4,GPT-5.4 mini,GPT-5.4 nano,Gemini 2.5 Flash,Gemini 3.1 Flash-Lite Preview,Gemini 3.1 Pro Preview,Gemma 4 26B A4B,Qwen 3 Next 80B Instruct,Qwen 3 Next 80B Thinking
digit_cipher_concept_learning,0.0,0.4,0.0,0.4,1.0,0.0,0.0,0.0,0.16,0.0,1.0,0.0,0.0,0.0
digitwise_l1_rf_learning,0.1289,0.1615,0.1526,0.1659,0.1541,0.1733,0.1615,0.16,0.1363,0.1704,1.0,0.16,0.1541,0.1481
dimval_metathesis_lang_learning,0.1,0.2,0.22307692307692306,0.2923076923076923,0.676923076923077,0.25,0.22692307692307692,0.19230769230769232,0.4,0.45384615384615384,1.0,0.0,0.18076923076923077,0.8153846153846154
disjunctive_noise_concept_learning,0.4,0.4,0.46,0.0,0.7,0.43500000000000005,0.5249999999999999,0.1,0.30000000000000004,0.38,0.5249999999999999,0.43500000000000005,0.32,0.75
divisor_count_rf_learning,0.7898,0.8,0.6977,0.7591,0.7284,0.7284,0.8,0.0,0.8,0.8,0.8,0.8,0.0,0.7284
drafnelt_switch_reference_lang_learning,0.7,1.0,1.0,1.0,1.0,1.0,0.95,0.4,0.95,1.0,1.0,0.3375,0.8,1.0
dralven_tone_sandhi_lang_learning,0.30000000000000004,0.4,0.30000000000000004,0.3285714285714286,0.35,0.3285714285714286,0.4357142857142857,0.1642857142857143,0.30000000000000004,0.41428571428571426,0.33214285714285713,0.30000000000000004,0.4,0.20714285714285713
drelkovak_harmony_lang_learning,0.21000000000000002,1.0,0.5,0.66,0.72,0.75,0.23,0.0,0.75,0.25,0.75,0.28,0.22,0.75
drelvak_reduplication_lang_learning,0.30000000000000004,0.4,0.5,0.46071428571428574,0.5892857142857143,0.25,0.19642857142857142,0.30714285714285716,0.7,0.5,0.6142857142857143,0.30000000000000004,0.21785714285714286,0.4357142857142857
dual_recurrence_concept_learning,0.30000000000000004,0.4,0.4,0.2,0.0,0.4,0.22,0.22,0.0,0.0,0.2,0.4,0.0,0.0
encoded_triple_concept_learning,0.2,0.4,0.6375,0.0,1.0,0.35625,0.5,0.175,1.0,0.7,1.0,0.25,0.35625,0.925
feistel_cipher_round_obs_learning,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75
fib_like_next_rf_learning,1.0,0.9906,0.9906,0.9531,0.9719,0.2,0.2,0.8969,0.2,0.8625,0.85,0.9,0.8125,0.95
finite_state_transducer_obs_learning,0.25,0.25,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
flow_network_capacity_obs_learning,0.75,0.25,0.25,0.5,0.0,0.25,0.25,0.0,0.25,0.25,0.75,0.5,0.0,0.5
gated_dual_signal_binding_assoc_learning,0.3333333333333333,0.5,0.6666666666666666,0.5,1.0,1.0,0.3333333333333333,0.0,0.16666666666666666,0.5,1.0,0.0,0.16666666666666666,0.8333333333333334
glyph_bind_assoc_learning,0.1,1.0,0.1,0.1,0.0,0.3,0.3,0.1,0.2,0.1,1.0,0.2,0.2,0.3
graph_shortest_path_rf_learning,0.8,0.8442,0.8788,0.8442,0.8735,0.12,0.86,0.08,0.8096,0.8881,0.8935,0.8442,0.8,0.8
gray_hamming_rf_learning,0.15,0.0,0.1833,0.1333,0.1167,0.9182,0.1167,0.1,0.15,0.15,0.9489,0.1333,0.15,0.1333
grelkan_suppletion_lang_learning,0.36,0.4,0.30000000000000004,0.6000000000000001,0.64,0.30000000000000004,0.23,0.26,0.30000000000000004,0.24,0.48,0.28,0.44,0.0
grid_transform_concept_learning,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
gwelthar_mirative_evidential_tone_lang_learning,0.49230769230769234,0.30000000000000004,0.7230769230769231,0.5384615384615384,0.6807692307692308,0.43076923076923074,0.6461538461538461,0.3153846153846154,0.25,0.25,0.9076923076923077,0.0,0.6115384615384616,0.5
hanoi_two_rf_learning,0.2,1.0,0.8568,0.2,1.0,1.0,0.9932,1.0,0.09,0.8977,1.0,1.0,0.0667,0.9659
hidden_attribute_rule_obs_learning,0.625,0.625,0.5,0.625,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.625,0.375
hidden_damping_physics_obs_learning,0.0,0.25,0.0,0.75,1.0,0.5,0.0,0.25,0.25,0.5,1.0,0.25,0.0,1.0
hidden_graph_centrality_obs_learning,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hidden_group_operation_obs_learning,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hidden_matrix_fill_obs_learning,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,1.0,1.0
hidden_modal_logic_kripke2_obs_learning,0.5,0.625,0.5,0.375,0.0,0.5,0.25,0.375,0.625,0.5,0.625,0.25,0.5,0.0
hidden_modal_logic_kripke_obs_learning,0.375,0.625,0.5,1.0,0.0,0.5,0.25,0.375,0.375,0.5,0.75,0.25,0.0,0.5
hidden_priority_order_obs_learning,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0
hidden_region_classifier_obs_learning,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,0.6666666666666666
hidden_state_machine_obs_learning,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,1.0,0.25,0.0,0.5
hidden_token_filter_obs_learning,0.25,0.25,0.25,0.25,0.75,0.25,0.0,0.0,0.75,0.25,1.0,0.0,0.0,0.75
inference_dyad_operators_assoc_learning,0.125,0.375,0.375,0.25,1.0,0.25,0.125,0.25,0.25,0.5,1.0,0.125,0.125,0.125
inhibitory_summation_assoc_learning,0.25,0.5,0.75,0.625,0.75,0.5,0.375,0.625,0.625,0.375,1.0,0.5,0.625,0.625
interleave_reverse_concept_learning,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
kelstran_tone_lang_learning,0.2,0.4,0.0,0.48,0.92,0.72,0.22,0.0,0.48,0.5,0.8400000000000001,0.0,0.0,0.6300000000000001
kophar_quantity_lang_learning,0.4,0.75,0.7428571428571429,0.75,0.6535714285714286,0.75,0.4571428571428572,0.7428571428571429,0.4,0.75,0.5892857142857143,0.42857142857142855,0.41428571428571426,0.75
latent_cross_binding_assoc_learning,0.5,0.5,0.6666666666666666,0.5,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,1.0,0.5,0.5,1.0
latent_inhibition_assoc_learning,0.625,0.625,0.75,0.5,0.75,0.625,0.625,0.5,0.625,0.375,1.0,0.5,0.75,0.625
latent_set_binding_assoc_learning,0.42857142857142855,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.42857142857142855,1.0,1.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.8571428571428571
latent_set_variant_assoc_learning,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
lattice_meet_join_obs_learning,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5
layered_transform_concept_learning,0.0,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.94375
learned_irrelevance_assoc_learning,0.75,0.875,0.875,0.75,0.875,1.0,0.5,0.5,1.0,1.0,1.0,0.875,0.75,0.875
lfu_cache_eviction_obs_learning,0.25,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.0,0.5,0.75
linear_feedback_shift_register_obs_learning,0.0,0.25,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0
manhattan_point_rf_learning,1.0,0.9048,1.0,1.0,1.0,0.8615,0.15,1.0,0.15,1.0,0.0,0.05,0.1,1.0
mastermind_aggregate_rf_learning,0.08,0.2,0.925,0.2,0.9357,0.8821,0.08,0.12,0.2,0.16,0.2,0.08,0.12,0.2
mealy_machine_output_obs_learning,0.0,0.5,0.5,0.25,0.75,0.5,0.0,0.25,0.0,0.5,0.75,0.25,0.25,0.75
mixed_radix_number_lang_learning,0.11363636363636365,0.4,0.4,0.11363636363636365,0.0,0.4,0.0,0.19545454545454544,0.5,0.0,0.8909090909090909,0.2545454545454545,0.0,0.0
modular_subsequence_concept_learning,0.1,0.1,0.0,0.14,0.0,0.24,0.0,0.16999999999999998,0.0,0.24,0.22,0.2,0.0,0.24
nested_logic_concept_learning,0.2,0.52,0.5,0.48,0.75,0.7,0.5,0.35,0.75,0.75,1.0,0.5249999999999999,0.64,0.25
nim_heap_rf_learning,0.15,0.0,0.125,0.15,0.05,0.15,0.15,0.1,0.125,0.15,0.125,0.125,0.15,0.15
norkvash_scalar_lang_learning,0.46,0.5800000000000001,0.0,0.52,0.8200000000000001,0.8200000000000001,0.5700000000000001,0.0,0.4,0.25,0.5800000000000001,0.26,0.76,0.5
occasion_setting_assoc_learning,0.8571428571428571,1.0,1.0,0.7857142857142857,0.9285714285714286,1.0,0.9285714285714286,0.5,0.6428571428571429,1.0,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.7857142857142857
odd_letter_score_pair_assoc_learning,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.5,0.8333333333333334,0.3333333333333333,0.0,0.0
overexpectation_assoc_learning,0.25,0.25,0.25,0.25,0.625,0.5,0.5,0.0,0.25,0.25,1.0,0.875,0.25,0.25
pelvan_agreement_lang_learning,0.1,0.1,0.11363636363636365,0.2090909090909091,0.6272727272727273,0.3090909090909091,0.0,0.0,0.2,0.0,0.42272727272727273,0.0,0.19545454545454544,0.2090909090909091
perm_fixed_points_rf_learning,0.04,0.0,0.12,0.12,0.8179,0.12,0.12,0.12,0.0,0.0,0.8607,0.0,0.0,1.0
perm_footrule_rf_learning,0.0,0.0,0.9464,0.0667,0.9786,0.9464,0.0667,0.0667,0.0,0.0,1.0,1.0,0.0,0.0
phonological_alternation_harmony_obs_learning,0.75,1.0,1.0,0.75,1.0,0.5,1.0,0.25,1.0,0.5,1.0,0.5,0.5,1.0
pipeline_hazard_stall_counting_obs_learning,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.25
positional_encode_concept_learning,0.2,0.1,0.22,0.1,0.25,0.6000000000000001,0.0,0.13,0.75,0.25,0.96,0.44,0.19,0.25
positional_mapping_concept_learning,0.4,0.4,1.0,0.0,1.0,0.7272727272727273,0.25,0.2272727272727273,1.0,0.4727272727272727,1.0,0.2,0.4545454545454546,0.9454545454545454
prentova_allomorphy_wugtest_lang_learning,0.4,0.4,0.30000000000000004,0.30000000000000004,0.6142857142857143,0.44285714285714284,0.4785714285714286,0.49285714285714294,0.6142857142857143,0.6535714285714286,0.7428571428571429,0.4571428571428572,0.18571428571428572,1.0
product_hotcold_rf_learning,1.0,0.8969,0.8313,0.1455,0.8969,1.0,1.0,0.1636,0.1909,0.9625,1.0,0.1818,0.1818,0.9531
pushdown_automaton_inference_obs_learning,0.5,0.75,0.75,0.5,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0
quadratic_root_rf_learning,1.0,1.0,1.0,0.982,1.0,0.982,0.1845,0.1845,1.0,1.0,1.0,0.847,0.1974,1.0
recurrence_second_order_rf_learning,0.2,0.9827,0.9827,0.9481,1.0,0.9654,0.2,0.2,0.2,0.9,0.974,0.95,0.05,0.9
regex_intersection_membership_obs_learning,1.0,0.75,1.0,0.75,1.0,1.0,0.75,0.25,0.75,0.75,1.0,1.0,0.0,1.0
register_machine_trace_obs_learning,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
relational_pairs_concept_learning,0.42000000000000004,0.4,0.56,0.51,0.6000000000000001,0.66,0.66,0.45000000000000007,0.72,0.75,0.6000000000000001,0.56,0.45000000000000007,0.75
retrospective_revaluation_assoc_learning,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.2857142857142857,1.0,0.5714285714285714,1.0,0.42857142857142855,0.42857142857142855,1.0
ring_operations_hidden_carry_obs_learning,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.25,0.0,1.0,0.0,0.0,1.0
rule90_step_rf_learning,0.8875,0.9325,0.8538,0.9213,1.0,0.8987,0.91,0.1333,0.1556,1.0,1.0,0.0,1.0,0.0889
semantic_override_concept_learning,0.75,0.75,0.8,0.30000000000000004,0.75,0.3375,0.2,0.3375,0.95,0.6375,0.85,0.5,0.3375,0.9
shapley_values_cooperative_game_obs_learning,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
shift_cipher_rf_learning,0.2,0.2,0.2,0.2,0.9333,1.0,0.9333,0.2,0.2,0.925,0.8667,0.9333,0.9333,0.9333
sigil_naming_obs_learning,0.0,0.0,0.0,0.25,1.0,0.25,0.25,0.0,0.25,0.0,1.0,0.25,0.25,0.0
singleton_gate_local_max_obs_learning,0.25,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.0,0.0
skelth_allomorph_lang_learning,0.4,1.0,1.0,0.5892857142857143,0.6535714285714286,1.0,0.6535714285714286,0.7,0.0,0.75,1.0,0.3642857142857143,0.6214285714285714,0.9571428571428572
sklonveth_root_pattern_lang_learning,0.30000000000000004,0.4,0.30000000000000004,0.37142857142857144,0.6214285714285714,0.3642857142857143,0.4571428571428572,0.1642857142857143,0.44285714285714284,0.4571428571428572,0.4,0.33214285714285713,0.20714285714285713,0.5892857142857143
skolvren_polysynthetic_lang_learning,0.0,0.1,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48750000000000004,0.0,0.0,0.0
skovar_deletion_lang_learning,0.275,0.1,0.0,0.6375,0.95,0.75,0.675,0.4,0.375,0.5,1.0,0.0,0.2,0.85
spurious_hue_true_edge_assoc_learning,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.25,0.5
state_machine_concept_learning,0.30000000000000004,0.4,0.5863636363636363,0.30000000000000004,0.7090909090909091,0.30000000000000004,0.44545454545454544,0.34090909090909094,1.0,0.2090909090909091,0.7272727272727273,0.4,0.30000000000000004,0.5
strelkov_ergative_lang_learning,0.6000000000000001,1.0,1.0,0.75,1.0,1.0,0.65,0.2,0.5,1.0,1.0,0.0,0.8666666666666667,1.0
strevoklan_neg_lang_learning,0.0,0.64,0.0,0.14500000000000002,0.75,0.0,0.19,0.175,0.4,0.0,0.75,0.39,0.20500000000000002,0.25
sudoku_2x2_rf_learning,1.0,0.993,0.9578,0.8875,1.0,0.8383,0.02,0.02,1.0,0.02,1.0,1.0,0.9578,1.0
sum_product_xy_rf_learning,0.9333,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.9333,1.0,0.9906,0.2,1.0
symbolic_glyphpair_scoring_obs_learning,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5
syntax_tree_rewrite_obs_learning,0.5,1.0,0.25,0.75,1.0,0.5,0.5,0.25,0.25,0.5,1.0,0.25,0.75,0.75
telvari_evidentiality_lang_learning,0.5636363636363636,0.8909090909090909,1.0,0.8909090909090909,0.9454545454545454,1.0,0.8909090909090909,0.6727272727272728,0.6727272727272728,1.0,1.0,0.4545454545454546,0.8363636363636364,0.8909090909090909
temporal_pairing_tnr_assoc_learning,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5,0.75,1.0,1.0,0.5,0.75,1.0
threlkav_scope_ergativity_lang_learning,0.7818181818181817,1.0,1.0,0.8909090909090909,1.0,1.0,0.9454545454545454,0.7818181818181817,1.0,1.0,1.0,0.7272727272727273,0.8363636363636364,1.0
titration_curve_diprotic_obs_learning,0.2,0.2,0.2,0.6,0.6,0.4,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.4
trenval_bleeding_lang_learning,0.5846153846153846,0.30000000000000004,0.4,0.49230769230769234,0.9076923076923077,0.8153846153846154,0.9076923076923077,0.16923076923076924,0.4,0.6807692307692308,0.8615384615384615,0.4461538461538461,0.6115384615384616,0.7692307692307693
trevkovan_gradation_lang_learning,0.30000000000000004,0.5,0.5,0.37142857142857144,0.8714285714285714,1.0,0.41428571428571426,0.5,1.0,0.5,0.75,0.2,0.42857142857142855,1.0
triple_parity_concept_learning,0.2,0.2,0.51,0.45000000000000007,0.25,0.13,0.32,0.0,0.24,0.76,0.64,0.12,0.30000000000000004,0.46
two_counter_machine_obs_learning,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0
verbal_bandit_rf_learning,0.8845,0.2,0.18,0.2,0.2,0.06,0.85,0.2,0.9763,0.9,1.0,0.2,0.9,0.9
violation_counter_concept_learning,0.0,0.2,0.2,0.0,0.0,0.23500000000000001,0.41000000000000003,0.175,0.0,0.0,0.7,0.43500000000000005,0.0,0.0
vowel_rotation_concept_learning,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.4785714285714286,0.0,1.0,0.0,0.0,0.75
vrelthan_rule_interaction_lang_learning,0.4,0.4,0.45000000000000007,0.45000000000000007,0.25,0.41250000000000003,0.425,0.30000000000000004,0.25,0.425,0.75,0.4,0.45000000000000007,0.25
vrendel_templatic_lang_learning,0.3818181818181818,0.4,0.509090909090909,0.0,0.9454545454545454,1.0,0.7090909090909091,0.5863636363636363,0.4,0.75,1.0,0.6181818181818182,0.7272727272727273,1.0
wordle_micro_rf_learning,0.1667,0.2,0.2,0.1667,1.0,0.1,0.1,0.1,0.2,0.2,0.97,0.0,0.0667,0.1
wukal_tones_lang_learning,0.34090909090909094,0.2,0.5,0.44545454545454544,0.8363636363636364,0.5,0.4727272727272727,0.4636363636363636,0.5454545454545454,0.4727272727272727,0.5,0.2090909090909091,0.36363636363636365,0.8363636363636364
xor_attribute_binding_assoc_learning,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.5
xor_subset_hamming_rf_learning,0.14,0.9182,0.9182,0.16,1.0,0.7852,0.18,0.14,1.0,0.16,1.0,0.16,0.18,1.0
