category,task_name,entropy,normalized_entropy,n_models,mean_score,std_score,entropy_class
language,strevoklan_neg_lang_learning,2.6106,0.7859,14,0.2782,0.2612,high_entropy
language,telvari_evidentiality_lang_learning,2.006,0.6039,14,0.8364,0.17,medium_entropy
language,threlkav_scope_ergativity_lang_learning,1.2871,0.3874,14,0.926,0.098,low_entropy
language,trenval_bleeding_lang_learning,2.8074,0.8451,14,0.5962,0.2284,high_entropy
language,trevkovan_gradation_lang_learning,2.6106,0.7859,14,0.5954,0.2648,high_entropy
language,vrelthan_rule_interaction_lang_learning,1.4299,0.4304,14,0.4009,0.1222,medium_entropy
language,vrendel_templatic_lang_learning,2.6106,0.7859,14,0.6448,0.2826,high_entropy
language,wukal_tones_lang_learning,2.2359,0.6731,14,0.4776,0.1784,high_entropy
observational,affine_transform_chain_obs_learning,1.5744,0.4739,14,0.25,0.2673,medium_entropy
observational,agglutinative_morphology_obs_learning,1.7885,0.5384,14,0.25,0.2835,medium_entropy
observational,arithmetic_entropy_coding_obs_learning,1.8092,0.5446,14,0.5536,0.3801,medium_entropy
observational,auction_mechanism_second_price_obs_learning,1.9852,0.5976,14,0.4464,0.2863,medium_entropy
observational,chemical_reaction_order_obs_learning,1.4299,0.4304,14,0.1607,0.2772,medium_entropy
observational,codon_table_translation_obs_learning,0.9403,0.2831,14,0.3571,0.4792,low_entropy
observational,custom_gravity_simulation_obs_learning,1.2917,0.3888,14,0.8571,0.2789,low_entropy
observational,deceptive_stack_machine_obs_learning,0.9852,0.2966,14,0.4286,0.4949,low_entropy
observational,feistel_cipher_round_obs_learning,1.0892,0.3279,14,0.1607,0.3219,low_entropy
observational,finite_state_transducer_obs_learning,1.4138,0.4256,14,0.2679,0.3949,medium_entropy
observational,flow_network_capacity_obs_learning,1.8774,0.5651,14,0.3214,0.2396,medium_entropy
observational,grid_parity_path_obs_learning,1.8774,0.5651,14,0.3036,0.343,medium_entropy
observational,hidden_attribute_rule_obs_learning,1.8352,0.5525,14,0.6161,0.1201,medium_entropy
observational,hidden_damping_physics_obs_learning,2.182,0.6568,14,0.4107,0.3733,high_entropy
observational,hidden_graph_centrality_obs_learning,0.5917,0.1781,14,0.1429,0.3499,very_low_entropy
observational,hidden_group_operation_obs_learning,1.0949,0.3296,14,0.125,0.2631,low_entropy
observational,hidden_matrix_fill_obs_learning,1.1981,0.3607,14,0.3393,0.4591,low_entropy
observational,hidden_modal_logic_kripke2_obs_learning,2.2099,0.6652,14,0.4018,0.2014,high_entropy
observational,hidden_modal_logic_kripke_obs_learning,2.6106,0.7859,14,0.4286,0.2575,high_entropy
observational,hidden_priority_order_obs_learning,1.2917,0.3888,14,0.2321,0.3834,low_entropy
observational,hidden_region_classifier_obs_learning,1.5774,0.4748,14,0.8452,0.1331,medium_entropy
observational,hidden_state_machine_obs_learning,1.5917,0.4791,14,0.2143,0.2649,medium_entropy
observational,hidden_token_filter_obs_learning,1.7885,0.5384,14,0.3393,0.3219,medium_entropy
observational,lattice_meet_join_obs_learning,1.6267,0.4897,14,0.2143,0.3254,medium_entropy
observational,lfu_cache_eviction_obs_learning,2.067,0.6222,14,0.3036,0.3015,medium_entropy
observational,linear_feedback_shift_register_obs_learning,1.6267,0.4897,14,0.1964,0.3159,medium_entropy
observational,mealy_machine_output_obs_learning,1.9852,0.5976,14,0.375,0.2631,medium_entropy
observational,phonological_alternation_harmony_obs_learning,1.6894,0.5086,14,0.7679,0.2582,medium_entropy
observational,pipeline_hazard_stall_counting_obs_learning,1.4838,0.4467,14,0.2143,0.3517,medium_entropy
observational,pushdown_automaton_inference_obs_learning,1.4316,0.4309,14,0.8393,0.1795,medium_entropy
observational,regex_intersection_membership_obs_learning,1.5744,0.4739,14,0.7857,0.2967,medium_entropy
observational,register_machine_trace_obs_learning,0.9464,0.2849,14,0.125,0.2631,low_entropy
observational,ring_operations_hidden_carry_obs_learning,1.5216,0.4581,14,0.3393,0.4392,medium_entropy
observational,shapley_values_cooperative_game_obs_learning,0.7496,0.2257,14,0.2143,0.4103,low_entropy
observational,sigil_naming_obs_learning,1.4488,0.4361,14,0.25,0.3273,medium_entropy
observational,singleton_gate_local_max_obs_learning,1.5306,0.4608,14,0.2143,0.1856,medium_entropy
observational,symbolic_glyphpair_scoring_obs_learning,1.0949,0.3296,14,0.0893,0.1526,low_entropy
observational,syntax_tree_rewrite_obs_learning,1.9852,0.5976,14,0.5893,0.2772,medium_entropy
observational,titration_curve_diprotic_obs_learning,1.4838,0.4467,14,0.3286,0.1943,medium_entropy
observational,two_counter_machine_obs_learning,2.2638,0.6815,14,0.3095,0.3265,high_entropy
observational,vigenere_variant_cipher_obs_learning,0.3712,0.1118,14,0.0357,0.1288,very_low_entropy
observational,voronoi_custom_metric_obs_learning,2.4138,0.7266,14,0.3452,0.2311,high_entropy
rl,affine_cipher_word_rf_learning,1.1981,0.3607,14,0.2933,0.376,low_entropy
rl,arithmetic_next_rf_learning,0.8631,0.2598,14,0.3588,0.3536,low_entropy
rl,base7_decode_rf_learning,1.7783,0.5353,14,0.6652,0.3848,medium_entropy
rl,battleship_1d_rf_learning,1.5744,0.4739,14,0.5908,0.4435,medium_entropy
rl,battleship_two_ships_rf_learning,1.2958,0.3901,14,0.5949,0.43,low_entropy
rl,bitstring_hamming_rf_learning,1.2917,0.3888,14,0.2382,0.263,low_entropy
rl,chebyshev_point_rf_learning,0.9403,0.2831,14,0.6979,0.3928,low_entropy
rl,coin_balance_rf_learning,1.1981,0.3607,14,0.8889,0.2051,low_entropy
rl,collatz_length_rf_learning,1.4299,0.4304,14,0.2804,0.3834,medium_entropy
rl,crt_unique_rf_learning,1.4316,0.4309,14,0.5663,0.3708,medium_entropy
rl,cubic_eval_rf_learning,0.9464,0.2849,14,0.9043,0.2039,low_entropy
rl,cyclic_distance_rf_learning,0.3712,0.1118,14,0.9332,0.2276,very_low_entropy
rl,digit_square_error_rf_learning,0.3712,0.1118,14,0.2441,0.1799,very_low_entropy
rl,digitwise_l1_rf_learning,0.3712,0.1118,14,0.2162,0.2177,very_low_entropy
rl,divisor_count_rf_learning,1.7274,0.52,14,0.6594,0.2714,medium_entropy
rl,euler_totient_rf_learning,-0.0,-0.0,14,0.0,0.0,very_low_entropy
rl,fib_like_next_rf_learning,1.4926,0.4493,14,0.7699,0.3025,medium_entropy
rl,graph_shortest_path_rf_learning,0.7345,0.2211,14,0.7383,0.2626,low_entropy
rl,gray_hamming_rf_learning,0.9464,0.2849,14,0.2417,0.2853,low_entropy
rl,grid_nav_rf_learning,1.9242,0.5792,14,0.4761,0.4279,medium_entropy
rl,grid_octile_rf_learning,1.1981,0.3607,14,0.7048,0.4351,low_entropy
rl,grid_seven_rf_learning,0.3712,0.1118,14,0.0226,0.0381,very_low_entropy
rl,hangman_lite_rf_learning,0.3712,0.1118,14,0.0095,0.0343,very_low_entropy
rl,hanoi_three_rf_learning,0.7345,0.2211,14,0.0858,0.2198,low_entropy
rl,hanoi_two_rf_learning,0.9464,0.2849,14,0.1516,0.3439,low_entropy
rl,hot_cold_rf_learning,1.0949,0.3296,14,0.1012,0.2145,low_entropy
rl,interval_contains_rf_learning,1.2638,0.3804,14,0.1337,0.2425,low_entropy
rl,letter_overlap_word_rf_learning,0.5917,0.1781,14,0.1421,0.348,very_low_entropy
rl,levenshtein_words_rf_learning,0.3712,0.1118,14,0.0071,0.0258,very_low_entropy
rl,lights_out_2x2_rf_learning,0.3712,0.1118,14,0.0071,0.0258,very_low_entropy
rl,linear_equation_rf_learning,0.3712,0.1118,14,0.0714,0.2575,very_low_entropy
rl,linear_polynomial_rf_learning,0.3712,0.1118,14,0.0714,0.2575,very_low_entropy
rl,manhattan_point_rf_learning,1.6106,0.4848,14,0.6583,0.4269,medium_entropy
rl,mastermind_aggregate_rf_learning,1.7274,0.52,14,0.2175,0.2005,medium_entropy
rl,mastermind_classic_rf_learning,0.8631,0.2598,14,0.0829,0.0512,low_entropy
rl,minesweeper_1d_rf_learning,1.8424,0.5546,14,0.6167,0.3795,medium_entropy
rl,nim_heap_rf_learning,0.5917,0.1781,14,0.1214,0.0432,very_low_entropy
rl,parity_groups_rf_learning,-0.0,-0.0,14,0.1309,0.0187,very_low_entropy
rl,perm_fixed_points_rf_learning,1.7274,0.52,14,0.237,0.3481,medium_entropy
rl,perm_footrule_rf_learning,0.9403,0.2831,14,0.3623,0.4571,low_entropy
rl,product_hotcold_rf_learning,1.5306,0.4608,14,0.6717,0.3749,medium_entropy
rl,quadratic_root_rf_learning,1.0949,0.3296,14,0.8127,0.3281,low_entropy
rl,recurrence_second_order_rf_learning,1.1981,0.3607,14,0.6752,0.3792,low_entropy
rl,rule90_step_rf_learning,1.7783,0.5353,14,0.6987,0.386,medium_entropy
rl,shift_cipher_rf_learning,1.2958,0.3901,14,0.6184,0.3633,low_entropy
rl,sudoku_2x2_rf_learning,1.2871,0.3874,14,0.7639,0.3913,low_entropy
rl,sum_product_xy_rf_learning,0.7496,0.2257,14,0.8184,0.3237,low_entropy
rl,verbal_bandit_rf_learning,2.006,0.6039,14,0.5465,0.3725,medium_entropy
rl,wordle_micro_rf_learning,1.8424,0.5546,14,0.255,0.3036,medium_entropy
rl,xor_subset_hamming_rf_learning,1.2958,0.3901,14,0.553,0.3967,low_entropy
