category,category_full,task_name,model,score,tier,provider
associative,Associative Learning,learned_irrelevance_assoc_learning,Gemma 4 26B A4B,0.875,small,Google
associative,Associative Learning,contextual_flip_assoc_learning,Gemma 4 26B A4B,0.5,small,Google
associative,Associative Learning,odd_letter_score_pair_assoc_learning,Gemma 4 26B A4B,0.3333333333333333,small,Google
associative,Associative Learning,cumulative_state_rewrite_assoc_learning,Gemma 4 26B A4B,0.1428571428571428,small,Google
associative,Associative Learning,latent_inhibition_assoc_learning,Gemma 4 26B A4B,0.5,small,Google
associative,Associative Learning,xor_attribute_binding_assoc_learning,Gemma 4 26B A4B,0.6666666666666666,small,Google
associative,Associative Learning,blocking_effect_assoc_learning,Gemma 4 26B A4B,0.875,small,Google
associative,Associative Learning,deep_second_order_extinction_assoc_learning,Gemma 4 26B A4B,0.6,small,Google
associative,Associative Learning,retrospective_revaluation_assoc_learning,Gemma 4 26B A4B,0.4285714285714285,small,Google
associative,Associative Learning,occasion_setting_assoc_learning,Gemma 4 26B A4B,0.8571428571428571,small,Google
associative,Associative Learning,gated_dual_signal_binding_assoc_learning,Gemma 4 26B A4B,0.0,small,Google
associative,Associative Learning,glyph_bind_assoc_learning,Gemma 4 26B A4B,0.2,small,Google
associative,Associative Learning,overexpectation_assoc_learning,Gemma 4 26B A4B,0.875,small,Google
associative,Associative Learning,inference_dyad_operators_assoc_learning,Gemma 4 26B A4B,0.125,small,Google
associative,Associative Learning,spurious_hue_true_edge_assoc_learning,Gemini 2.5 Flash,0.5,mid,Google
associative,Associative Learning,inhibitory_summation_assoc_learning,Gemini 2.5 Flash,0.625,mid,Google
associative,Associative Learning,latent_cross_binding_assoc_learning,Gemini 2.5 Flash,0.5,mid,Google
associative,Associative Learning,latent_set_binding_assoc_learning,Gemini 2.5 Flash,1.0,mid,Google
associative,Associative Learning,latent_set_variant_assoc_learning,Gemini 2.5 Flash,0.8333333333333334,mid,Google
associative,Associative Learning,learned_irrelevance_assoc_learning,Gemini 2.5 Flash,1.0,mid,Google
associative,Associative Learning,contextual_flip_assoc_learning,Gemini 2.5 Flash,0.375,mid,Google
associative,Associative Learning,odd_letter_score_pair_assoc_learning,Gemini 2.5 Flash,0.5,mid,Google
associative,Associative Learning,cumulative_state_rewrite_assoc_learning,Gemini 2.5 Flash,0.7142857142857143,mid,Google
associative,Associative Learning,latent_inhibition_assoc_learning,Gemini 2.5 Flash,0.625,mid,Google
associative,Associative Learning,xor_attribute_binding_assoc_learning,Gemini 2.5 Flash,0.6666666666666666,mid,Google
associative,Associative Learning,blocking_effect_assoc_learning,Gemini 2.5 Flash,0.5,mid,Google
associative,Associative Learning,temporal_pairing_tnr_assoc_learning,Gemini 2.5 Flash,0.75,mid,Google
associative,Associative Learning,deep_second_order_extinction_assoc_learning,Gemini 2.5 Flash,0.7,mid,Google
associative,Associative Learning,retrospective_revaluation_assoc_learning,Gemini 2.5 Flash,1.0,mid,Google
associative,Associative Learning,occasion_setting_assoc_learning,Gemini 2.5 Flash,0.6428571428571429,mid,Google
associative,Associative Learning,gated_dual_signal_binding_assoc_learning,Gemini 2.5 Flash,0.1666666666666666,mid,Google
associative,Associative Learning,glyph_bind_assoc_learning,Gemini 2.5 Flash,0.3,mid,Google
associative,Associative Learning,overexpectation_assoc_learning,Gemini 2.5 Flash,0.25,mid,Google
associative,Associative Learning,inference_dyad_operators_assoc_learning,Gemini 2.5 Flash,0.25,mid,Google
associative,Associative Learning,spurious_hue_true_edge_assoc_learning,Claude Haiku 4.5,0.0,small,Anthropic
associative,Associative Learning,inhibitory_summation_assoc_learning,Claude Haiku 4.5,0.25,small,Anthropic
associative,Associative Learning,latent_cross_binding_assoc_learning,Claude Haiku 4.5,0.5,small,Anthropic
associative,Associative Learning,latent_set_binding_assoc_learning,Claude Haiku 4.5,0.4285714285714285,small,Anthropic
associative,Associative Learning,latent_set_variant_assoc_learning,Claude Haiku 4.5,0.8333333333333334,small,Anthropic
associative,Associative Learning,learned_irrelevance_assoc_learning,Claude Haiku 4.5,0.75,small,Anthropic
associative,Associative Learning,contextual_flip_assoc_learning,Claude Haiku 4.5,0.5,small,Anthropic
associative,Associative Learning,odd_letter_score_pair_assoc_learning,Claude Haiku 4.5,0.3333333333333333,small,Anthropic
associative,Associative Learning,cumulative_state_rewrite_assoc_learning,Claude Haiku 4.5,0.5714285714285714,small,Anthropic
associative,Associative Learning,latent_inhibition_assoc_learning,Claude Haiku 4.5,0.625,small,Anthropic
associative,Associative Learning,xor_attribute_binding_assoc_learning,Claude Haiku 4.5,0.6666666666666666,small,Anthropic
associative,Associative Learning,blocking_effect_assoc_learning,Claude Haiku 4.5,0.625,small,Anthropic
associative,Associative Learning,temporal_pairing_tnr_assoc_learning,Claude Haiku 4.5,1.0,small,Anthropic
associative,Associative Learning,deep_second_order_extinction_assoc_learning,Claude Haiku 4.5,0.8,small,Anthropic
associative,Associative Learning,retrospective_revaluation_assoc_learning,Claude Haiku 4.5,0.4285714285714285,small,Anthropic
associative,Associative Learning,occasion_setting_assoc_learning,Claude Haiku 4.5,0.8571428571428571,small,Anthropic
associative,Associative Learning,gated_dual_signal_binding_assoc_learning,Claude Haiku 4.5,0.5,small,Anthropic
associative,Associative Learning,glyph_bind_assoc_learning,Claude Haiku 4.5,0.0,small,Anthropic
associative,Associative Learning,overexpectation_assoc_learning,Claude Haiku 4.5,0.25,small,Anthropic
associative,Associative Learning,inference_dyad_operators_assoc_learning,Claude Haiku 4.5,0.125,small,Anthropic
associative,Associative Learning,spurious_hue_true_edge_assoc_learning,DeepSeek V3.2,0.0,mid,Open-source
associative,Associative Learning,inhibitory_summation_assoc_learning,DeepSeek V3.2,0.625,mid,Open-source
associative,Associative Learning,latent_cross_binding_assoc_learning,DeepSeek V3.2,0.5,mid,Open-source
associative,Associative Learning,latent_set_binding_assoc_learning,DeepSeek V3.2,1.0,mid,Open-source
associative,Associative Learning,latent_set_variant_assoc_learning,DeepSeek V3.2,0.8333333333333334,mid,Open-source
associative,Associative Learning,learned_irrelevance_assoc_learning,DeepSeek V3.2,0.75,mid,Open-source
associative,Associative Learning,contextual_flip_assoc_learning,DeepSeek V3.2,0.375,mid,Open-source
associative,Associative Learning,odd_letter_score_pair_assoc_learning,DeepSeek V3.2,0.5,mid,Open-source
associative,Associative Learning,cumulative_state_rewrite_assoc_learning,DeepSeek V3.2,0.0,mid,Open-source
associative,Associative Learning,latent_inhibition_assoc_learning,DeepSeek V3.2,0.5,mid,Open-source
associative,Associative Learning,xor_attribute_binding_assoc_learning,DeepSeek V3.2,0.6666666666666666,mid,Open-source
associative,Associative Learning,blocking_effect_assoc_learning,DeepSeek V3.2,0.75,mid,Open-source
associative,Associative Learning,temporal_pairing_tnr_assoc_learning,DeepSeek V3.2,0.75,mid,Open-source
associative,Associative Learning,deep_second_order_extinction_assoc_learning,DeepSeek V3.2,0.7,mid,Open-source
associative,Associative Learning,retrospective_revaluation_assoc_learning,DeepSeek V3.2,0.4285714285714285,mid,Open-source
associative,Associative Learning,occasion_setting_assoc_learning,DeepSeek V3.2,0.7857142857142857,mid,Open-source
associative,Associative Learning,gated_dual_signal_binding_assoc_learning,DeepSeek V3.2,0.5,mid,Open-source
associative,Associative Learning,glyph_bind_assoc_learning,DeepSeek V3.2,0.3,mid,Open-source
associative,Associative Learning,overexpectation_assoc_learning,DeepSeek V3.2,0.25,mid,Open-source
associative,Associative Learning,inference_dyad_operators_assoc_learning,DeepSeek V3.2,0.25,mid,Open-source
associative,Associative Learning,spurious_hue_true_edge_assoc_learning,Qwen 3 Next 80B Instruct,0.25,small,Open-source
associative,Associative Learning,inhibitory_summation_assoc_learning,Qwen 3 Next 80B Instruct,0.625,small,Open-source
associative,Associative Learning,latent_cross_binding_assoc_learning,Qwen 3 Next 80B Instruct,0.5,small,Open-source
associative,Associative Learning,latent_set_binding_assoc_learning,Qwen 3 Next 80B Instruct,0.7142857142857143,small,Open-source
associative,Associative Learning,latent_set_variant_assoc_learning,Qwen 3 Next 80B Instruct,0.8333333333333334,small,Open-source
associative,Associative Learning,learned_irrelevance_assoc_learning,Qwen 3 Next 80B Instruct,0.75,small,Open-source
associative,Associative Learning,contextual_flip_assoc_learning,Qwen 3 Next 80B Instruct,0.125,small,Open-source
associative,Associative Learning,odd_letter_score_pair_assoc_learning,Qwen 3 Next 80B Instruct,0.1666666666666666,small,Open-source
associative,Associative Learning,cumulative_state_rewrite_assoc_learning,Qwen 3 Next 80B Instruct,0.1428571428571428,small,Open-source
associative,Associative Learning,latent_inhibition_assoc_learning,Qwen 3 Next 80B Instruct,0.75,small,Open-source
associative,Associative Learning,xor_attribute_binding_assoc_learning,Qwen 3 Next 80B Instruct,0.1666666666666666,small,Open-source
associative,Associative Learning,blocking_effect_assoc_learning,Qwen 3 Next 80B Instruct,0.875,small,Open-source
associative,Associative Learning,temporal_pairing_tnr_assoc_learning,Qwen 3 Next 80B Instruct,0.75,small,Open-source
associative,Associative Learning,deep_second_order_extinction_assoc_learning,Qwen 3 Next 80B Instruct,0.6,small,Open-source
associative,Associative Learning,retrospective_revaluation_assoc_learning,Qwen 3 Next 80B Instruct,0.4285714285714285,small,Open-source
associative,Associative Learning,occasion_setting_assoc_learning,Qwen 3 Next 80B Instruct,0.8571428571428571,small,Open-source
associative,Associative Learning,gated_dual_signal_binding_assoc_learning,Qwen 3 Next 80B Instruct,0.1666666666666666,small,Open-source
associative,Associative Learning,glyph_bind_assoc_learning,Qwen 3 Next 80B Instruct,0.2,small,Open-source
associative,Associative Learning,overexpectation_assoc_learning,Qwen 3 Next 80B Instruct,0.25,small,Open-source
associative,Associative Learning,inference_dyad_operators_assoc_learning,Qwen 3 Next 80B Instruct,0.125,small,Open-source
associative,Associative Learning,spurious_hue_true_edge_assoc_learning,Qwen 3 Next 80B Thinking,0.5,mid,Open-source
associative,Associative Learning,inhibitory_summation_assoc_learning,Qwen 3 Next 80B Thinking,0.625,mid,Open-source
associative,Associative Learning,latent_cross_binding_assoc_learning,Qwen 3 Next 80B Thinking,1.0,mid,Open-source
associative,Associative Learning,latent_set_binding_assoc_learning,Qwen 3 Next 80B Thinking,0.8571428571428571,mid,Open-source
associative,Associative Learning,latent_set_variant_assoc_learning,Qwen 3 Next 80B Thinking,0.8333333333333334,mid,Open-source
associative,Associative Learning,learned_irrelevance_assoc_learning,Qwen 3 Next 80B Thinking,0.875,mid,Open-source
associative,Associative Learning,contextual_flip_assoc_learning,Qwen 3 Next 80B Thinking,0.5,mid,Open-source
associative,Associative Learning,odd_letter_score_pair_assoc_learning,Qwen 3 Next 80B Thinking,0.8333333333333334,mid,Open-source
associative,Associative Learning,cumulative_state_rewrite_assoc_learning,Qwen 3 Next 80B Thinking,0.1428571428571428,mid,Open-source
associative,Associative Learning,latent_inhibition_assoc_learning,Qwen 3 Next 80B Thinking,0.625,mid,Open-source
associative,Associative Learning,xor_attribute_binding_assoc_learning,Qwen 3 Next 80B Thinking,0.5,mid,Open-source
associative,Associative Learning,blocking_effect_assoc_learning,Qwen 3 Next 80B Thinking,0.5,mid,Open-source
associative,Associative Learning,temporal_pairing_tnr_assoc_learning,Qwen 3 Next 80B Thinking,1.0,mid,Open-source
associative,Associative Learning,deep_second_order_extinction_assoc_learning,Qwen 3 Next 80B Thinking,0.9,mid,Open-source
associative,Associative Learning,retrospective_revaluation_assoc_learning,Qwen 3 Next 80B Thinking,1.0,mid,Open-source
associative,Associative Learning,occasion_setting_assoc_learning,Qwen 3 Next 80B Thinking,0.7857142857142857,mid,Open-source
associative,Associative Learning,gated_dual_signal_binding_assoc_learning,Qwen 3 Next 80B Thinking,0.5,mid,Open-source
associative,Associative Learning,glyph_bind_assoc_learning,Qwen 3 Next 80B Thinking,0.2,mid,Open-source
associative,Associative Learning,overexpectation_assoc_learning,Qwen 3 Next 80B Thinking,0.25,mid,Open-source
associative,Associative Learning,inference_dyad_operators_assoc_learning,Qwen 3 Next 80B Thinking,0.125,mid,Open-source
associative,Associative Learning,spurious_hue_true_edge_assoc_learning,Claude Opus 4.6,0.0,frontier,Anthropic
associative,Associative Learning,inhibitory_summation_assoc_learning,Claude Opus 4.6,0.5,frontier,Anthropic
associative,Associative Learning,latent_cross_binding_assoc_learning,Claude Opus 4.6,0.5,frontier,Anthropic
associative,Associative Learning,latent_set_binding_assoc_learning,Claude Opus 4.6,1.0,frontier,Anthropic
associative,Associative Learning,latent_set_variant_assoc_learning,Claude Opus 4.6,1.0,frontier,Anthropic
associative,Associative Learning,learned_irrelevance_assoc_learning,Claude Opus 4.6,0.875,frontier,Anthropic
associative,Associative Learning,contextual_flip_assoc_learning,Claude Opus 4.6,0.75,frontier,Anthropic
associative,Associative Learning,odd_letter_score_pair_assoc_learning,Claude Opus 4.6,0.3333333333333333,frontier,Anthropic
associative,Associative Learning,cumulative_state_rewrite_assoc_learning,Claude Opus 4.6,0.1428571428571428,frontier,Anthropic
associative,Associative Learning,latent_inhibition_assoc_learning,Claude Opus 4.6,0.625,frontier,Anthropic
associative,Associative Learning,xor_attribute_binding_assoc_learning,Claude Opus 4.6,0.6666666666666666,frontier,Anthropic
associative,Associative Learning,blocking_effect_assoc_learning,Claude Opus 4.6,1.0,frontier,Anthropic
associative,Associative Learning,temporal_pairing_tnr_assoc_learning,Claude Opus 4.6,1.0,frontier,Anthropic
associative,Associative Learning,deep_second_order_extinction_assoc_learning,Claude Opus 4.6,1.0,frontier,Anthropic
associative,Associative Learning,retrospective_revaluation_assoc_learning,Claude Opus 4.6,0.7142857142857143,frontier,Anthropic
associative,Associative Learning,occasion_setting_assoc_learning,Claude Opus 4.6,1.0,frontier,Anthropic
associative,Associative Learning,gated_dual_signal_binding_assoc_learning,Claude Opus 4.6,0.5,frontier,Anthropic
associative,Associative Learning,glyph_bind_assoc_learning,Claude Opus 4.6,1.0,frontier,Anthropic
associative,Associative Learning,overexpectation_assoc_learning,Claude Opus 4.6,0.25,frontier,Anthropic
associative,Associative Learning,inference_dyad_operators_assoc_learning,Claude Opus 4.6,0.375,frontier,Anthropic
associative,Associative Learning,spurious_hue_true_edge_assoc_learning,Claude Sonnet 4.6,0.25,mid,Anthropic
associative,Associative Learning,inhibitory_summation_assoc_learning,Claude Sonnet 4.6,0.75,mid,Anthropic
associative,Associative Learning,latent_cross_binding_assoc_learning,Claude Sonnet 4.6,0.6666666666666666,mid,Anthropic
associative,Associative Learning,latent_set_binding_assoc_learning,Claude Sonnet 4.6,1.0,mid,Anthropic
associative,Associative Learning,latent_set_variant_assoc_learning,Claude Sonnet 4.6,0.8333333333333334,mid,Anthropic
associative,Associative Learning,learned_irrelevance_assoc_learning,Claude Sonnet 4.6,0.875,mid,Anthropic
associative,Associative Learning,contextual_flip_assoc_learning,Claude Sonnet 4.6,0.375,mid,Anthropic
associative,Associative Learning,odd_letter_score_pair_assoc_learning,Claude Sonnet 4.6,0.5,mid,Anthropic
associative,Associative Learning,cumulative_state_rewrite_assoc_learning,Claude Sonnet 4.6,0.1428571428571428,mid,Anthropic
associative,Associative Learning,latent_inhibition_assoc_learning,Claude Sonnet 4.6,0.75,mid,Anthropic
associative,Associative Learning,xor_attribute_binding_assoc_learning,Claude Sonnet 4.6,0.6666666666666666,mid,Anthropic
associative,Associative Learning,blocking_effect_assoc_learning,Claude Sonnet 4.6,1.0,mid,Anthropic
associative,Associative Learning,temporal_pairing_tnr_assoc_learning,Claude Sonnet 4.6,1.0,mid,Anthropic
associative,Associative Learning,deep_second_order_extinction_assoc_learning,Claude Sonnet 4.6,1.0,mid,Anthropic
associative,Associative Learning,retrospective_revaluation_assoc_learning,Claude Sonnet 4.6,0.7142857142857143,mid,Anthropic
associative,Associative Learning,occasion_setting_assoc_learning,Claude Sonnet 4.6,1.0,mid,Anthropic
associative,Associative Learning,gated_dual_signal_binding_assoc_learning,Claude Sonnet 4.6,0.6666666666666666,mid,Anthropic
associative,Associative Learning,glyph_bind_assoc_learning,Claude Sonnet 4.6,0.2,mid,Anthropic
associative,Associative Learning,overexpectation_assoc_learning,Claude Sonnet 4.6,0.25,mid,Anthropic
associative,Associative Learning,inference_dyad_operators_assoc_learning,Claude Sonnet 4.6,0.375,mid,Anthropic
associative,Associative Learning,spurious_hue_true_edge_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,inhibitory_summation_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,latent_cross_binding_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,latent_set_binding_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,latent_set_variant_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,learned_irrelevance_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,contextual_flip_assoc_learning,Gemini 3.1 Pro Preview,0.75,frontier,Google
associative,Associative Learning,odd_letter_score_pair_assoc_learning,Gemini 3.1 Pro Preview,0.8333333333333334,frontier,Google
associative,Associative Learning,cumulative_state_rewrite_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,latent_inhibition_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,xor_attribute_binding_assoc_learning,Gemini 3.1 Pro Preview,0.8333333333333334,frontier,Google
associative,Associative Learning,blocking_effect_assoc_learning,Gemini 3.1 Pro Preview,0.5,frontier,Google
associative,Associative Learning,temporal_pairing_tnr_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,deep_second_order_extinction_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,retrospective_revaluation_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,occasion_setting_assoc_learning,Gemini 3.1 Pro Preview,0.7857142857142857,frontier,Google
associative,Associative Learning,gated_dual_signal_binding_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,glyph_bind_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,overexpectation_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,inference_dyad_operators_assoc_learning,Gemini 3.1 Pro Preview,1.0,frontier,Google
associative,Associative Learning,spurious_hue_true_edge_assoc_learning,GPT-5.4,0.0,frontier,OpenAI
associative,Associative Learning,inhibitory_summation_assoc_learning,GPT-5.4,0.5,frontier,OpenAI
associative,Associative Learning,latent_cross_binding_assoc_learning,GPT-5.4,1.0,frontier,OpenAI
associative,Associative Learning,latent_set_binding_assoc_learning,GPT-5.4,0.8571428571428571,frontier,OpenAI
associative,Associative Learning,latent_set_variant_assoc_learning,GPT-5.4,1.0,frontier,OpenAI
associative,Associative Learning,learned_irrelevance_assoc_learning,GPT-5.4,1.0,frontier,OpenAI
associative,Associative Learning,contextual_flip_assoc_learning,GPT-5.4,0.5,frontier,OpenAI
associative,Associative Learning,odd_letter_score_pair_assoc_learning,GPT-5.4,0.8333333333333334,frontier,OpenAI
associative,Associative Learning,cumulative_state_rewrite_assoc_learning,GPT-5.4,0.0,frontier,OpenAI
associative,Associative Learning,latent_inhibition_assoc_learning,GPT-5.4,0.625,frontier,OpenAI
associative,Associative Learning,xor_attribute_binding_assoc_learning,GPT-5.4,0.1666666666666666,frontier,OpenAI
associative,Associative Learning,blocking_effect_assoc_learning,GPT-5.4,1.0,frontier,OpenAI
associative,Associative Learning,temporal_pairing_tnr_assoc_learning,GPT-5.4,1.0,frontier,OpenAI
associative,Associative Learning,deep_second_order_extinction_assoc_learning,GPT-5.4,1.0,frontier,OpenAI
associative,Associative Learning,retrospective_revaluation_assoc_learning,GPT-5.4,0.5714285714285714,frontier,OpenAI
associative,Associative Learning,occasion_setting_assoc_learning,GPT-5.4,1.0,frontier,OpenAI
associative,Associative Learning,gated_dual_signal_binding_assoc_learning,GPT-5.4,1.0,frontier,OpenAI
associative,Associative Learning,glyph_bind_assoc_learning,GPT-5.4,0.2,frontier,OpenAI
associative,Associative Learning,overexpectation_assoc_learning,GPT-5.4,0.5,frontier,OpenAI
associative,Associative Learning,inference_dyad_operators_assoc_learning,GPT-5.4,0.25,frontier,OpenAI
associative,Associative Learning,spurious_hue_true_edge_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.0,mid,Google
associative,Associative Learning,inhibitory_summation_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.375,mid,Google
associative,Associative Learning,latent_cross_binding_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.6666666666666666,mid,Google
associative,Associative Learning,latent_set_binding_assoc_learning,Gemini 3.1 Flash-Lite Preview,1.0,mid,Google
associative,Associative Learning,latent_set_variant_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.8333333333333334,mid,Google
associative,Associative Learning,learned_irrelevance_assoc_learning,Gemini 3.1 Flash-Lite Preview,1.0,mid,Google
associative,Associative Learning,contextual_flip_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.25,mid,Google
associative,Associative Learning,odd_letter_score_pair_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.5,mid,Google
associative,Associative Learning,cumulative_state_rewrite_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.2857142857142857,mid,Google
associative,Associative Learning,latent_inhibition_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.375,mid,Google
associative,Associative Learning,xor_attribute_binding_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.5,mid,Google
associative,Associative Learning,blocking_effect_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.625,mid,Google
associative,Associative Learning,temporal_pairing_tnr_assoc_learning,Gemini 3.1 Flash-Lite Preview,1.0,mid,Google
associative,Associative Learning,deep_second_order_extinction_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.9,mid,Google
associative,Associative Learning,retrospective_revaluation_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.5714285714285714,mid,Google
associative,Associative Learning,occasion_setting_assoc_learning,Gemini 3.1 Flash-Lite Preview,1.0,mid,Google
associative,Associative Learning,gated_dual_signal_binding_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.5,mid,Google
associative,Associative Learning,glyph_bind_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.1,mid,Google
associative,Associative Learning,overexpectation_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.25,mid,Google
associative,Associative Learning,inference_dyad_operators_assoc_learning,Gemini 3.1 Flash-Lite Preview,0.5,mid,Google
associative,Associative Learning,spurious_hue_true_edge_assoc_learning,GPT-5.4 mini,0.0,mid,OpenAI
associative,Associative Learning,inhibitory_summation_assoc_learning,GPT-5.4 mini,0.375,mid,OpenAI
associative,Associative Learning,latent_cross_binding_assoc_learning,GPT-5.4 mini,0.3333333333333333,mid,OpenAI
associative,Associative Learning,latent_set_binding_assoc_learning,GPT-5.4 mini,0.4285714285714285,mid,OpenAI
associative,Associative Learning,latent_set_variant_assoc_learning,GPT-5.4 mini,1.0,mid,OpenAI
associative,Associative Learning,learned_irrelevance_assoc_learning,GPT-5.4 mini,0.5,mid,OpenAI
associative,Associative Learning,contextual_flip_assoc_learning,GPT-5.4 mini,0.375,mid,OpenAI
associative,Associative Learning,odd_letter_score_pair_assoc_learning,GPT-5.4 mini,0.5,mid,OpenAI
associative,Associative Learning,cumulative_state_rewrite_assoc_learning,GPT-5.4 mini,0.1428571428571428,mid,OpenAI
associative,Associative Learning,latent_inhibition_assoc_learning,GPT-5.4 mini,0.625,mid,OpenAI
associative,Associative Learning,xor_attribute_binding_assoc_learning,GPT-5.4 mini,0.1666666666666666,mid,OpenAI
associative,Associative Learning,blocking_effect_assoc_learning,GPT-5.4 mini,0.75,mid,OpenAI
associative,Associative Learning,temporal_pairing_tnr_assoc_learning,GPT-5.4 mini,1.0,mid,OpenAI
associative,Associative Learning,deep_second_order_extinction_assoc_learning,GPT-5.4 mini,0.8,mid,OpenAI
associative,Associative Learning,retrospective_revaluation_assoc_learning,GPT-5.4 mini,0.4285714285714285,mid,OpenAI
associative,Associative Learning,occasion_setting_assoc_learning,GPT-5.4 mini,0.9285714285714286,mid,OpenAI
associative,Associative Learning,gated_dual_signal_binding_assoc_learning,GPT-5.4 mini,0.6666666666666666,mid,OpenAI
associative,Associative Learning,glyph_bind_assoc_learning,GPT-5.4 mini,0.1,mid,OpenAI
associative,Associative Learning,overexpectation_assoc_learning,GPT-5.4 mini,0.5,mid,OpenAI
associative,Associative Learning,inference_dyad_operators_assoc_learning,GPT-5.4 mini,0.125,mid,OpenAI
associative,Associative Learning,spurious_hue_true_edge_assoc_learning,GPT-5.4 nano,0.5,small,OpenAI
associative,Associative Learning,inhibitory_summation_assoc_learning,GPT-5.4 nano,0.625,small,OpenAI
associative,Associative Learning,latent_cross_binding_assoc_learning,GPT-5.4 nano,0.6666666666666666,small,OpenAI
associative,Associative Learning,latent_set_binding_assoc_learning,GPT-5.4 nano,1.0,small,OpenAI
associative,Associative Learning,latent_set_variant_assoc_learning,GPT-5.4 nano,0.8333333333333334,small,OpenAI
associative,Associative Learning,learned_irrelevance_assoc_learning,GPT-5.4 nano,0.5,small,OpenAI
associative,Associative Learning,contextual_flip_assoc_learning,GPT-5.4 nano,0.5,small,OpenAI
associative,Associative Learning,odd_letter_score_pair_assoc_learning,GPT-5.4 nano,0.3333333333333333,small,OpenAI
associative,Associative Learning,cumulative_state_rewrite_assoc_learning,GPT-5.4 nano,0.0,small,OpenAI
associative,Associative Learning,latent_inhibition_assoc_learning,GPT-5.4 nano,0.5,small,OpenAI
associative,Associative Learning,xor_attribute_binding_assoc_learning,GPT-5.4 nano,0.1666666666666666,small,OpenAI
