category,task_name,frontier_mean,mid_mean,small_mean,frontier_small_gap
rl,hangman_lite_rf_learning,0.0,0.0222,0.0,0.0
rl,hanoi_three_rf_learning,0.008,0.1616,0.05,-0.042
rl,hanoi_two_rf_learning,0.0,0.1894,0.2466,-0.2466
rl,hot_cold_rf_learning,0.0,0.2029,0.05,-0.05
rl,interval_contains_rf_learning,0.0,0.2237,0.1325,-0.1325
rl,letter_overlap_word_rf_learning,0.0,0.1667,0.2472,-0.2472
rl,levenshtein_words_rf_learning,0.0,0.0167,0.0,0.0
rl,lights_out_2x2_rf_learning,0.0,0.0167,0.0,0.0
rl,linear_equation_rf_learning,0.0,0.1667,0.0,0.0
rl,linear_polynomial_rf_learning,0.0,0.1667,0.0,0.0
rl,manhattan_point_rf_learning,0.6916,0.7167,0.5375,0.1541
rl,mastermind_aggregate_rf_learning,0.18,0.2942,0.14,0.04
rl,mastermind_classic_rf_learning,0.08,0.0867,0.08,0.0
rl,minesweeper_1d_rf_learning,0.4408,0.5893,0.8339,-0.3932
rl,nim_heap_rf_learning,0.0812,0.1417,0.1312,-0.05
rl,parity_groups_rf_learning,0.125,0.1416,0.1208,0.0042
rl,perm_fixed_points_rf_learning,0.4496,0.2267,0.04,0.4096
rl,perm_footrule_rf_learning,0.7312,0.18,0.2667,0.4646
rl,product_hotcold_rf_learning,0.9484,0.6805,0.3818,0.5667
rl,quadratic_root_rf_learning,0.9955,0.8611,0.5572,0.4383
rl,recurrence_second_order_rf_learning,0.9805,0.6885,0.35,0.6305
rl,rule90_step_rf_learning,0.9578,0.6549,0.5052,0.4526
rl,shift_cipher_rf_learning,0.75,0.5653,0.5666,0.1834
rl,sudoku_2x2_rf_learning,0.9578,0.6476,0.7444,0.2134
rl,sum_product_xy_rf_learning,1.0,0.8556,0.581,0.419
rl,verbal_bandit_rf_learning,0.365,0.6677,0.5461,-0.1811
rl,wordle_micro_rf_learning,0.5675,0.1611,0.0833,0.4842
rl,xor_subset_hamming_rf_learning,0.9258,0.5697,0.155,0.7708
