task_slug,task_name,category,model,score,avg_input_tokens,avg_output_tokens,wall_sec,n_requests,total_input_tokens,total_output_tokens,avg_latency_ms
arithmetic-next-rf-learning,arithmetic_next_rf_learning,Reinforcement Learning,GPT-5.4,0.1857,,,,,,,
arithmetic-next-rf-learning,arithmetic_next_rf_learning,Reinforcement Learning,GPT-5.4 mini,0.1143,,,,,,,
arithmetic-next-rf-learning,arithmetic_next_rf_learning,Reinforcement Learning,GPT-5.4 nano,0.1,,,,,,,
arithmetic-next-rf-learning,arithmetic_next_rf_learning,Reinforcement Learning,Gemini 2.5 Flash,0.9083,,,,,,,
arithmetic-next-rf-learning,arithmetic_next_rf_learning,Reinforcement Learning,Gemini 3.1 Flash-Lite Preview,0.1429,,,,,,,
arithmetic-next-rf-learning,arithmetic_next_rf_learning,Reinforcement Learning,Gemini 3.1 Pro Preview,0.9333,,,,,,,
arithmetic-next-rf-learning,arithmetic_next_rf_learning,Reinforcement Learning,Gemma 4 26B A4B,0.1286,,,,,,,
arithmetic-next-rf-learning,arithmetic_next_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Instruct,0.1,,,,,,,
arithmetic-next-rf-learning,arithmetic_next_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Thinking,0.9,446.1,6706.1,748.73,18,8030,120710,40171.1
auction-mechanism-second-price-obs-learning,auction_mechanism_second_price_obs_learning,Observational Learning,Claude Haiku 4.5,0.5,,,,,,,
auction-mechanism-second-price-obs-learning,auction_mechanism_second_price_obs_learning,Observational Learning,Claude Opus 4.6,0.0,,,,,,,
auction-mechanism-second-price-obs-learning,auction_mechanism_second_price_obs_learning,Observational Learning,Claude Sonnet 4.6,0.5,,,,,,,
auction-mechanism-second-price-obs-learning,auction_mechanism_second_price_obs_learning,Observational Learning,DeepSeek V3.2,0.75,,,,,,,
auction-mechanism-second-price-obs-learning,auction_mechanism_second_price_obs_learning,Observational Learning,GLM-5,1.0,,,,,,,
auction-mechanism-second-price-obs-learning,auction_mechanism_second_price_obs_learning,Observational Learning,GPT-5.4,0.5,,,,,,,
auction-mechanism-second-price-obs-learning,auction_mechanism_second_price_obs_learning,Observational Learning,GPT-5.4 mini,0.25,,,,,,,
auction-mechanism-second-price-obs-learning,auction_mechanism_second_price_obs_learning,Observational Learning,GPT-5.4 nano,0.25,580.0,32.0,1.97,1,580,32,699.0
auction-mechanism-second-price-obs-learning,auction_mechanism_second_price_obs_learning,Observational Learning,Gemini 2.5 Flash,0.25,,,,,,,
auction-mechanism-second-price-obs-learning,auction_mechanism_second_price_obs_learning,Observational Learning,Gemini 3.1 Flash-Lite Preview,0.25,,,,,,,
auction-mechanism-second-price-obs-learning,auction_mechanism_second_price_obs_learning,Observational Learning,Gemini 3.1 Pro Preview,1.0,,,,,,,
auction-mechanism-second-price-obs-learning,auction_mechanism_second_price_obs_learning,Observational Learning,Gemma 4 26B A4B,0.25,,,,,,,
auction-mechanism-second-price-obs-learning,auction_mechanism_second_price_obs_learning,Observational Learning,Qwen 3 Next 80B Instruct,0.5,,,,,,,
auction-mechanism-second-price-obs-learning,auction_mechanism_second_price_obs_learning,Observational Learning,Qwen 3 Next 80B Thinking,0.25,,,,,,,
base7-decode-rf-learning,base7_decode_rf_learning,Reinforcement Learning,Claude Haiku 4.5,1.0,,,,,,,
base7-decode-rf-learning,base7_decode_rf_learning,Reinforcement Learning,Claude Opus 4.6,0.8,,,,,,,
base7-decode-rf-learning,base7_decode_rf_learning,Reinforcement Learning,Claude Sonnet 4.6,1.0,,,,,,,
base7-decode-rf-learning,base7_decode_rf_learning,Reinforcement Learning,DeepSeek V3.2,1.0,,,,,,,
base7-decode-rf-learning,base7_decode_rf_learning,Reinforcement Learning,GLM-5,1.0,,,,,,,
base7-decode-rf-learning,base7_decode_rf_learning,Reinforcement Learning,GPT-5.4,0.2,,,,,,,
base7-decode-rf-learning,base7_decode_rf_learning,Reinforcement Learning,GPT-5.4 mini,0.2,,,,,,,
base7-decode-rf-learning,base7_decode_rf_learning,Reinforcement Learning,GPT-5.4 nano,0.1562,1183.1,15.7,32.9,36,42590,566,712.2
base7-decode-rf-learning,base7_decode_rf_learning,Reinforcement Learning,Gemini 2.5 Flash,0.925,,,,,,,
base7-decode-rf-learning,base7_decode_rf_learning,Reinforcement Learning,Gemini 3.1 Flash-Lite Preview,0.1063,,,,,,,
base7-decode-rf-learning,base7_decode_rf_learning,Reinforcement Learning,Gemini 3.1 Pro Preview,0.8,,,,,,,
base7-decode-rf-learning,base7_decode_rf_learning,Reinforcement Learning,Gemma 4 26B A4B,1.0,,,,,,,
base7-decode-rf-learning,base7_decode_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Instruct,0.125,,,,,,,
base7-decode-rf-learning,base7_decode_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Thinking,1.0,,,,,,,
battleship-1d-rf-learning,battleship_1d_rf_learning,Reinforcement Learning,Claude Haiku 4.5,0.9404,,,,,,,
battleship-1d-rf-learning,battleship_1d_rf_learning,Reinforcement Learning,Claude Opus 4.6,0.8279,,,,,,,
battleship-1d-rf-learning,battleship_1d_rf_learning,Reinforcement Learning,Claude Sonnet 4.6,0.0,,,,,,,
battleship-1d-rf-learning,battleship_1d_rf_learning,Reinforcement Learning,DeepSeek V3.2,0.9404,,,,,,,
battleship-1d-rf-learning,battleship_1d_rf_learning,Reinforcement Learning,GLM-5,0.9074,,,,,,,
battleship-1d-rf-learning,battleship_1d_rf_learning,Reinforcement Learning,GPT-5.4,0.9338,,,,,,,
battleship-1d-rf-learning,battleship_1d_rf_learning,Reinforcement Learning,GPT-5.4 mini,0.9735,,,,,,,
battleship-1d-rf-learning,battleship_1d_rf_learning,Reinforcement Learning,GPT-5.4 nano,0.0,,,,,,,
battleship-1d-rf-learning,battleship_1d_rf_learning,Reinforcement Learning,Gemini 2.5 Flash,0.7882,,,,,,,
battleship-1d-rf-learning,battleship_1d_rf_learning,Reinforcement Learning,Gemini 3.1 Flash-Lite Preview,0.0,,,,,,,
battleship-1d-rf-learning,battleship_1d_rf_learning,Reinforcement Learning,Gemini 3.1 Pro Preview,1.0,,,,,,,
battleship-1d-rf-learning,battleship_1d_rf_learning,Reinforcement Learning,Gemma 4 26B A4B,0.9603,,,,,,,
battleship-1d-rf-learning,battleship_1d_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Instruct,0.0,15860.6,630.1,137.67,44,697865,27726,2647.9
battleship-1d-rf-learning,battleship_1d_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Thinking,0.0,,,,,,,
battleship-two-ships-rf-learning,battleship_two_ships_rf_learning,Reinforcement Learning,Claude Haiku 4.5,0.9719,,,,,,,
battleship-two-ships-rf-learning,battleship_two_ships_rf_learning,Reinforcement Learning,Claude Opus 4.6,0.85,,,,,,,
battleship-two-ships-rf-learning,battleship_two_ships_rf_learning,Reinforcement Learning,Claude Sonnet 4.6,0.9719,,,,,,,
battleship-two-ships-rf-learning,battleship_two_ships_rf_learning,Reinforcement Learning,DeepSeek V3.2,0.1,,,,,,,
battleship-two-ships-rf-learning,battleship_two_ships_rf_learning,Reinforcement Learning,GLM-5,0.9531,,,,,,,
battleship-two-ships-rf-learning,battleship_two_ships_rf_learning,Reinforcement Learning,GPT-5.4,1.0,,,,,,,
battleship-two-ships-rf-learning,battleship_two_ships_rf_learning,Reinforcement Learning,GPT-5.4 mini,0.9812,,,,,,,
battleship-two-ships-rf-learning,battleship_two_ships_rf_learning,Reinforcement Learning,GPT-5.4 nano,0.1,,,,,,,
battleship-two-ships-rf-learning,battleship_two_ships_rf_learning,Reinforcement Learning,Gemini 2.5 Flash,0.1,,,,,,,
battleship-two-ships-rf-learning,battleship_two_ships_rf_learning,Reinforcement Learning,Gemini 3.1 Flash-Lite Preview,1.0,,,,,,,
battleship-two-ships-rf-learning,battleship_two_ships_rf_learning,Reinforcement Learning,Gemini 3.1 Pro Preview,1.0,,,,,,,
battleship-two-ships-rf-learning,battleship_two_ships_rf_learning,Reinforcement Learning,Gemma 4 26B A4B,0.1,,,,,,,
battleship-two-ships-rf-learning,battleship_two_ships_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Instruct,0.1,16047.6,676.0,111.06,34,545620,22984,3143.2
battleship-two-ships-rf-learning,battleship_two_ships_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Thinking,0.1,,,,,,,
bitstring-hamming-rf-learning,bitstring_hamming_rf_learning,Reinforcement Learning,Claude Haiku 4.5,0.1429,,,,,,,
bitstring-hamming-rf-learning,bitstring_hamming_rf_learning,Reinforcement Learning,Claude Opus 4.6,0.1429,,,,,,,
bitstring-hamming-rf-learning,bitstring_hamming_rf_learning,Reinforcement Learning,Claude Sonnet 4.6,0.1857,,,,,,,
bitstring-hamming-rf-learning,bitstring_hamming_rf_learning,Reinforcement Learning,DeepSeek V3.2,0.1143,,,,,,,
bitstring-hamming-rf-learning,bitstring_hamming_rf_learning,Reinforcement Learning,GLM-5,0.1714,,,,,,,
bitstring-hamming-rf-learning,bitstring_hamming_rf_learning,Reinforcement Learning,GPT-5.4,0.1857,,,,,,,
bitstring-hamming-rf-learning,bitstring_hamming_rf_learning,Reinforcement Learning,GPT-5.4 mini,0.1286,,,,,,,
bitstring-hamming-rf-learning,bitstring_hamming_rf_learning,Reinforcement Learning,GPT-5.4 nano,0.0714,,,,,,,
bitstring-hamming-rf-learning,bitstring_hamming_rf_learning,Reinforcement Learning,Gemini 2.5 Flash,0.1143,,,,,,,
bitstring-hamming-rf-learning,bitstring_hamming_rf_learning,Reinforcement Learning,Gemini 3.1 Flash-Lite Preview,0.7852,,,,,,,
bitstring-hamming-rf-learning,bitstring_hamming_rf_learning,Reinforcement Learning,Gemini 3.1 Pro Preview,0.9489,,,,,,,
bitstring-hamming-rf-learning,bitstring_hamming_rf_learning,Reinforcement Learning,Gemma 4 26B A4B,0.1714,,,,,,,
bitstring-hamming-rf-learning,bitstring_hamming_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Instruct,0.0,83966.0,4822.0,519.5,30,2518981,144660,16775.3
bitstring-hamming-rf-learning,bitstring_hamming_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Thinking,0.1714,,,,,,,
blocking-effect-assoc-learning,blocking_effect_assoc_learning,Associative Learning,Claude Haiku 4.5,0.625,,,,,,,
blocking-effect-assoc-learning,blocking_effect_assoc_learning,Associative Learning,Claude Opus 4.6,1.0,,,,,,,
blocking-effect-assoc-learning,blocking_effect_assoc_learning,Associative Learning,Claude Sonnet 4.6,1.0,,,,,,,
blocking-effect-assoc-learning,blocking_effect_assoc_learning,Associative Learning,DeepSeek V3.2,0.75,,,,,,,
blocking-effect-assoc-learning,blocking_effect_assoc_learning,Associative Learning,GLM-5,0.5,,,,,,,
blocking-effect-assoc-learning,blocking_effect_assoc_learning,Associative Learning,GPT-5.4,1.0,,,,,,,
blocking-effect-assoc-learning,blocking_effect_assoc_learning,Associative Learning,GPT-5.4 mini,0.75,,,,,,,
blocking-effect-assoc-learning,blocking_effect_assoc_learning,Associative Learning,GPT-5.4 nano,0.875,,,,,,,
blocking-effect-assoc-learning,blocking_effect_assoc_learning,Associative Learning,Gemini 2.5 Flash,0.5,,,,,,,
blocking-effect-assoc-learning,blocking_effect_assoc_learning,Associative Learning,Gemini 3.1 Flash-Lite Preview,0.625,,,,,,,
blocking-effect-assoc-learning,blocking_effect_assoc_learning,Associative Learning,Gemini 3.1 Pro Preview,0.5,,,,,,,
blocking-effect-assoc-learning,blocking_effect_assoc_learning,Associative Learning,Gemma 4 26B A4B,0.875,,,,,,,
blocking-effect-assoc-learning,blocking_effect_assoc_learning,Associative Learning,Qwen 3 Next 80B Instruct,0.875,1069.0,87.0,1.36,1,1069,87,492.0
blocking-effect-assoc-learning,blocking_effect_assoc_learning,Associative Learning,Qwen 3 Next 80B Thinking,0.5,,,,,,,
chebyshev-point-rf-learning,chebyshev_point_rf_learning,Reinforcement Learning,Claude Haiku 4.5,0.1857,,,,,,,
chebyshev-point-rf-learning,chebyshev_point_rf_learning,Reinforcement Learning,Claude Opus 4.6,0.9913,,,,,,,
chebyshev-point-rf-learning,chebyshev_point_rf_learning,Reinforcement Learning,Claude Sonnet 4.6,0.9394,,,,,,,
chebyshev-point-rf-learning,chebyshev_point_rf_learning,Reinforcement Learning,DeepSeek V3.2,0.9827,,,,,,,
chebyshev-point-rf-learning,chebyshev_point_rf_learning,Reinforcement Learning,GLM-5,1.0,,,,,,,
chebyshev-point-rf-learning,chebyshev_point_rf_learning,Reinforcement Learning,GPT-5.4,1.0,,,,,,,
chebyshev-point-rf-learning,chebyshev_point_rf_learning,Reinforcement Learning,GPT-5.4 mini,0.1857,,,,,,,
chebyshev-point-rf-learning,chebyshev_point_rf_learning,Reinforcement Learning,GPT-5.4 nano,0.1571,,,,,,,
chebyshev-point-rf-learning,chebyshev_point_rf_learning,Reinforcement Learning,Gemini 2.5 Flash,1.0,141.6,14.0,275.96,5,708,70,54813.6
chebyshev-point-rf-learning,chebyshev_point_rf_learning,Reinforcement Learning,Gemini 3.1 Flash-Lite Preview,1.0,,,,,,,
chebyshev-point-rf-learning,chebyshev_point_rf_learning,Reinforcement Learning,Gemini 3.1 Pro Preview,1.0,,,,,,,
chebyshev-point-rf-learning,chebyshev_point_rf_learning,Reinforcement Learning,Gemma 4 26B A4B,0.1643,,,,,,,
chebyshev-point-rf-learning,chebyshev_point_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Instruct,0.1643,,,,,,,
chebyshev-point-rf-learning,chebyshev_point_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Thinking,1.0,,,,,,,
chemical-reaction-order-obs-learning,chemical_reaction_order_obs_learning,Observational Learning,Claude Haiku 4.5,0.25,,,,,,,
chemical-reaction-order-obs-learning,chemical_reaction_order_obs_learning,Observational Learning,Claude Opus 4.6,0.25,,,,,,,
chemical-reaction-order-obs-learning,chemical_reaction_order_obs_learning,Observational Learning,Claude Sonnet 4.6,0.0,1291.0,112.0,3.07,1,1291,112,1814.0
chemical-reaction-order-obs-learning,chemical_reaction_order_obs_learning,Observational Learning,DeepSeek V3.2,0.0,,,,,,,
chemical-reaction-order-obs-learning,chemical_reaction_order_obs_learning,Observational Learning,GLM-5,0.0,,,,,,,
chemical-reaction-order-obs-learning,chemical_reaction_order_obs_learning,Observational Learning,GPT-5.4,0.0,,,,,,,
chemical-reaction-order-obs-learning,chemical_reaction_order_obs_learning,Observational Learning,GPT-5.4 mini,0.25,,,,,,,
chemical-reaction-order-obs-learning,chemical_reaction_order_obs_learning,Observational Learning,GPT-5.4 nano,0.0,,,,,,,
chemical-reaction-order-obs-learning,chemical_reaction_order_obs_learning,Observational Learning,Gemini 2.5 Flash,0.0,,,,,,,
chemical-reaction-order-obs-learning,chemical_reaction_order_obs_learning,Observational Learning,Gemini 3.1 Flash-Lite Preview,0.0,,,,,,,
chemical-reaction-order-obs-learning,chemical_reaction_order_obs_learning,Observational Learning,Gemini 3.1 Pro Preview,1.0,,,,,,,
chemical-reaction-order-obs-learning,chemical_reaction_order_obs_learning,Observational Learning,Gemma 4 26B A4B,0.0,,,,,,,
chemical-reaction-order-obs-learning,chemical_reaction_order_obs_learning,Observational Learning,Qwen 3 Next 80B Instruct,0.5,,,,,,,
chemical-reaction-order-obs-learning,chemical_reaction_order_obs_learning,Observational Learning,Qwen 3 Next 80B Thinking,0.0,,,,,,,
codon-table-translation-obs-learning,codon_table_translation_obs_learning,Observational Learning,Claude Haiku 4.5,0.0,,,,,,,
codon-table-translation-obs-learning,codon_table_translation_obs_learning,Observational Learning,Claude Opus 4.6,0.0,,,,,,,
codon-table-translation-obs-learning,codon_table_translation_obs_learning,Observational Learning,Claude Sonnet 4.6,0.0,,,,,,,
codon-table-translation-obs-learning,codon_table_translation_obs_learning,Observational Learning,DeepSeek V3.2,1.0,,,,,,,
codon-table-translation-obs-learning,codon_table_translation_obs_learning,Observational Learning,GLM-5,1.0,,,,,,,
codon-table-translation-obs-learning,codon_table_translation_obs_learning,Observational Learning,GPT-5.4,0.0,435.0,36.0,2.79,1,435,36,1144.0
codon-table-translation-obs-learning,codon_table_translation_obs_learning,Observational Learning,GPT-5.4 mini,0.0,,,,,,,
codon-table-translation-obs-learning,codon_table_translation_obs_learning,Observational Learning,GPT-5.4 nano,0.0,,,,,,,
codon-table-translation-obs-learning,codon_table_translation_obs_learning,Observational Learning,Gemini 2.5 Flash,0.0,,,,,,,
codon-table-translation-obs-learning,codon_table_translation_obs_learning,Observational Learning,Gemini 3.1 Flash-Lite Preview,0.0,,,,,,,
codon-table-translation-obs-learning,codon_table_translation_obs_learning,Observational Learning,Gemini 3.1 Pro Preview,1.0,,,,,,,
codon-table-translation-obs-learning,codon_table_translation_obs_learning,Observational Learning,Gemma 4 26B A4B,0.0,,,,,,,
codon-table-translation-obs-learning,codon_table_translation_obs_learning,Observational Learning,Qwen 3 Next 80B Instruct,1.0,,,,,,,
codon-table-translation-obs-learning,codon_table_translation_obs_learning,Observational Learning,Qwen 3 Next 80B Thinking,1.0,,,,,,,
coin-balance-rf-learning,coin_balance_rf_learning,Reinforcement Learning,Claude Haiku 4.5,1.0,,,,,,,
coin-balance-rf-learning,coin_balance_rf_learning,Reinforcement Learning,Claude Opus 4.6,1.0,,,,,,,
coin-balance-rf-learning,coin_balance_rf_learning,Reinforcement Learning,Claude Sonnet 4.6,0.8015,,,,,,,
coin-balance-rf-learning,coin_balance_rf_learning,Reinforcement Learning,DeepSeek V3.2,0.9603,,,,,,,
coin-balance-rf-learning,coin_balance_rf_learning,Reinforcement Learning,GLM-5,1.0,,,,,,,
coin-balance-rf-learning,coin_balance_rf_learning,Reinforcement Learning,GPT-5.4,1.0,,,,,,,
coin-balance-rf-learning,coin_balance_rf_learning,Reinforcement Learning,GPT-5.4 mini,0.9603,,,,,,,
coin-balance-rf-learning,coin_balance_rf_learning,Reinforcement Learning,GPT-5.4 nano,0.2,,,,,,,
coin-balance-rf-learning,coin_balance_rf_learning,Reinforcement Learning,Gemini 2.5 Flash,0.8809,,,,,,,
coin-balance-rf-learning,coin_balance_rf_learning,Reinforcement Learning,Gemini 3.1 Flash-Lite Preview,0.8,,,,,,,
coin-balance-rf-learning,coin_balance_rf_learning,Reinforcement Learning,Gemini 3.1 Pro Preview,1.0,,,,,,,
coin-balance-rf-learning,coin_balance_rf_learning,Reinforcement Learning,Gemma 4 26B A4B,1.0,,,,,,,
coin-balance-rf-learning,coin_balance_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Instruct,0.8412,11737.1,941.8,124.94,19,223004,17894,4820.9
coin-balance-rf-learning,coin_balance_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Thinking,1.0,,,,,,,
collatz-length-rf-learning,collatz_length_rf_learning,Reinforcement Learning,Claude Haiku 4.5,0.8364,,,,,,,
collatz-length-rf-learning,collatz_length_rf_learning,Reinforcement Learning,Claude Opus 4.6,0.9284,,,,,,,
collatz-length-rf-learning,collatz_length_rf_learning,Reinforcement Learning,Claude Sonnet 4.6,0.044,,,,,,,
collatz-length-rf-learning,collatz_length_rf_learning,Reinforcement Learning,DeepSeek V3.2,0.1024,,,,,,,
collatz-length-rf-learning,collatz_length_rf_learning,Reinforcement Learning,GLM-5,0.06,,,,,,,
collatz-length-rf-learning,collatz_length_rf_learning,Reinforcement Learning,GPT-5.4,0.0196,,,,,,,
collatz-length-rf-learning,collatz_length_rf_learning,Reinforcement Learning,GPT-5.4 mini,0.014,,,,,,,
collatz-length-rf-learning,collatz_length_rf_learning,Reinforcement Learning,GPT-5.4 nano,0.0124,,,,,,,
collatz-length-rf-learning,collatz_length_rf_learning,Reinforcement Learning,Gemini 2.5 Flash,0.8875,,,,,,,
