task_name,category,mean_score,std_score,discrimination_r,entropy,tier_gap,flags,n_flags,removal_priority
grid_octile_rf_learning,rl,0.7048,0.4515,0.2721,1.1981,-0.1969,inverted_tier_gap(-0.197),1,medium
grid_nav_rf_learning,rl,0.4761,0.4441,0.299,1.9242,-0.3883,inverted_tier_gap(-0.388),1,medium
grid_seven_rf_learning,rl,0.0226,0.0395,0.3719,0.3712,0.0125,low_entropy(0.371),1,medium
hanoi_three_rf_learning,rl,0.0858,0.2281,0.2569,0.7345,-0.042,extreme_or_inverted_bimodal,1,medium
interval_contains_rf_learning,rl,0.1337,0.2517,0.1129,1.2638,-0.1325,extreme_or_inverted_bimodal,1,medium
hot_cold_rf_learning,rl,0.1012,0.2226,0.2406,1.0949,-0.05,extreme_or_inverted_bimodal,1,medium
mastermind_aggregate_rf_learning,rl,0.2175,0.2081,0.105,1.7274,0.04,extreme_or_inverted_bimodal,1,medium
parity_groups_rf_learning,rl,0.1309,0.0195,0.2778,-0.0,0.0042,low_entropy(-0.000),1,medium
verbal_bandit_rf_learning,rl,0.5465,0.3866,0.1516,2.006,-0.1811,inverted_tier_gap(-0.181),1,medium
blocking_effect_assoc_learning,associative,0.7411,0.1989,-0.3661,2.2709,-0.0625,negative_discrimination(r=-0.366),1,keep
dual_recurrence_concept_learning,concept,0.1957,0.1688,-0.3943,1.8352,0.02,negative_discrimination(r=-0.394),1,keep
hidden_modal_logic_kripke2_obs_learning,observational,0.4018,0.209,-0.127,2.2099,0.0312,negative_discrimination(r=-0.127),1,keep
manhattan_point_rf_learning,rl,0.6583,0.443,-0.1172,1.6106,0.1541,negative_discrimination(r=-0.117),1,keep
nim_heap_rf_learning,rl,0.1214,0.0448,-0.1298,0.5917,-0.05,negative_discrimination(r=-0.130),1,keep
spurious_hue_true_edge_assoc_learning,associative,0.2679,0.332,0.6611,1.9212,0.25,,0,keep
inhibitory_summation_assoc_learning,associative,0.5804,0.1874,0.685,2.3527,0.1875,,0,keep
latent_cross_binding_assoc_learning,associative,0.619,0.2305,0.4138,1.8774,0.1667,,0,keep
latent_set_binding_assoc_learning,associative,0.8469,0.2056,0.4023,1.7783,0.2143,,0,keep
latent_set_variant_assoc_learning,associative,0.8929,0.0829,0.5994,0.9403,0.1667,,0,keep
learned_irrelevance_assoc_learning,associative,0.8304,0.167,0.6212,1.9242,0.2188,,0,keep
contextual_flip_assoc_learning,associative,0.4732,0.1846,0.6866,2.067,0.2812,,0,keep
latent_inhibition_assoc_learning,associative,0.6339,0.1508,0.712,2.0202,0.1562,,0,keep
xor_attribute_binding_assoc_learning,associative,0.5238,0.252,0.6001,1.8424,0.2083,,0,keep
temporal_pairing_tnr_assoc_learning,associative,0.9038,0.1626,0.5313,1.1401,0.25,,0,keep
deep_second_order_extinction_assoc_learning,associative,0.8214,0.1762,0.7697,1.7783,0.375,,0,keep
retrospective_revaluation_assoc_learning,associative,0.6224,0.2417,0.7411,2.156,0.3571,,0,keep
occasion_setting_assoc_learning,associative,0.852,0.1468,0.2385,2.0202,0.1607,,0,keep
overexpectation_assoc_learning,associative,0.3929,0.2767,0.5861,1.9502,0.25,,0,keep
inference_dyad_operators_assoc_learning,associative,0.3482,0.299,0.8519,2.121,0.5,,0,keep
odd_letter_score_pair_assoc_learning,associative,0.5,0.2152,0.6923,1.8262,0.375,,0,keep
cumulative_state_rewrite_assoc_learning,associative,0.2637,0.3078,0.6005,2.1416,0.1667,,0,keep
gated_dual_signal_binding_assoc_learning,associative,0.4744,0.3252,0.699,2.192,0.6667,,0,keep
glyph_bind_assoc_learning,associative,0.3077,0.3174,0.7376,1.5466,0.5833,,0,keep
disjunctive_noise_concept_learning,concept,0.4093,0.1991,0.6225,2.4956,0.2012,,0,keep
digit_cipher_concept_learning,concept,0.2114,0.3637,0.6456,1.4838,0.6,,0,keep
encoded_triple_concept_learning,concept,0.5357,0.3432,0.9105,2.8074,0.4438,,0,keep
nested_logic_concept_learning,concept,0.5654,0.2173,0.5497,2.6106,0.3137,,0,keep
positional_encode_concept_learning,concept,0.3171,0.2744,0.6709,2.4067,0.2375,,0,keep
layered_transform_concept_learning,concept,0.2076,0.4127,0.8344,0.7496,0.4906,,0,keep
consonant_clusters_concept_learning,concept,0.2194,0.2862,0.8663,2.2709,0.3339,,0,keep
modular_subsequence_concept_learning,concept,0.1179,0.102,0.0861,1.5774,0.0225,,0,keep
positional_mapping_concept_learning,concept,0.5769,0.3581,0.7997,2.067,0.4614,,0,keep
relational_pairs_concept_learning,concept,0.5779,0.1204,0.5563,1.9852,0.095,,0,keep
state_machine_concept_learning,concept,0.4656,0.22,0.7651,2.3527,0.1989,,0,keep
triple_parity_concept_learning,concept,0.3271,0.2125,0.4392,2.8074,0.15,,0,keep
vowel_rotation_concept_learning,concept,0.2128,0.3638,0.9482,1.2917,0.4375,,0,keep
violation_counter_concept_learning,concept,0.1682,0.2179,0.29,1.9212,0.1312,,0,keep
interleave_reverse_concept_learning,concept,0.2857,0.4688,0.9199,0.8631,0.5,,0,keep
grid_transform_concept_learning,concept,0.2429,0.4237,0.7355,1.0949,0.25,,0,keep
drelkovak_harmony_lang_learning,language,0.505,0.3,0.7026,2.1488,0.6275,,0,keep
dimval_metathesis_lang_learning,language,0.358,0.2861,0.8671,2.4956,0.4135,,0,keep
drafnelt_switch_reference_lang_learning,language,0.867,0.2297,0.7629,1.4345,0.4406,,0,keep
dralven_tone_sandhi_lang_learning,language,0.3258,0.0756,0.1687,1.5216,0.0616,,0,keep
drelvak_reduplication_lang_learning,language,0.4122,0.157,0.5171,2.5027,0.1821,,0,keep
kophar_quantity_lang_learning,language,0.6128,0.1565,0.37,1.5744,0.1893,,0,keep
grelkan_suppletion_lang_learning,language,0.345,0.1625,0.2276,2.182,0.12,,0,keep
mixed_radix_number_lang_learning,language,0.2334,0.2616,0.3262,2.2988,0.2818,,0,keep
kelstran_tone_lang_learning,language,0.385,0.3224,0.8915,2.7534,0.67,,0,keep
pelvan_agreement_lang_learning,language,0.1776,0.1807,0.7951,2.3249,0.2909,,0,keep
prentova_allomorphy_wugtest_lang_learning,language,0.5059,0.208,0.5376,2.217,0.1661,,0,keep
skelth_allomorph_lang_learning,language,0.6921,0.2965,0.5173,2.4067,0.392,,0,keep
gwelthar_mirative_evidential_tone_lang_learning,language,0.4747,0.2368,0.6194,2.8963,0.225,,0,keep
skolvren_polysynthetic_lang_learning,language,0.0688,0.1574,0.4259,1.0892,0.1469,,0,keep
norkvash_scalar_lang_learning,language,0.4657,0.264,0.5509,2.4067,0.33,,0,keep
sklonveth_root_pattern_lang_learning,language,0.3862,0.1271,0.666,2.1488,0.1955,,0,keep
skovar_deletion_lang_learning,language,0.4795,0.3405,0.7835,3.2359,0.4812,,0,keep
strelkov_ergative_lang_learning,language,0.7548,0.3294,0.7743,2.2608,0.5833,,0,keep
telvari_evidentiality_lang_learning,language,0.8364,0.1764,0.7579,2.006,0.3273,,0,keep
vrendel_templatic_lang_learning,language,0.6448,0.2933,0.572,2.6106,0.258,,0,keep
strevoklan_neg_lang_learning,language,0.2782,0.2711,0.4945,2.6106,0.3425,,0,keep
wukal_tones_lang_learning,language,0.4776,0.1851,0.6356,2.2359,0.1648,,0,keep
vrelthan_rule_interaction_lang_learning,language,0.4009,0.1268,0.2547,1.4299,0.0656,,0,keep
threlkav_scope_ergativity_lang_learning,language,0.926,0.1017,0.8053,1.2871,0.2182,,0,keep
trenval_bleeding_lang_learning,language,0.5962,0.237,0.6693,2.8074,0.2683,,0,keep
trevkovan_gradation_lang_learning,language,0.5954,0.2748,0.7169,2.6106,0.4232,,0,keep
agglutinative_morphology_obs_learning,observational,0.25,0.2942,0.8076,1.7885,0.4375,,0,keep
affine_transform_chain_obs_learning,observational,0.25,0.2774,0.4159,1.5744,0.4375,,0,keep
arithmetic_entropy_coding_obs_learning,observational,0.5536,0.3944,0.73,1.8092,0.4375,,0,keep
deceptive_stack_machine_obs_learning,observational,0.4286,0.5136,0.7307,0.9852,0.25,,0,keep
lfu_cache_eviction_obs_learning,observational,0.3036,0.3128,0.6803,2.067,0.1875,,0,keep
auction_mechanism_second_price_obs_learning,observational,0.4464,0.2971,0.6526,1.9852,0.25,,0,keep
codon_table_translation_obs_learning,observational,0.3571,0.4972,0.7604,0.9403,0.25,,0,keep
flow_network_capacity_obs_learning,observational,0.3214,0.2486,0.3872,1.8774,0.0,,0,keep
chemical_reaction_order_obs_learning,observational,0.1607,0.2877,0.5383,1.4299,0.125,,0,keep
feistel_cipher_round_obs_learning,observational,0.1607,0.3341,0.8395,1.0892,0.25,,0,keep
hidden_group_operation_obs_learning,observational,0.125,0.273,0.6679,1.0949,0.3125,,0,keep
grid_parity_path_obs_learning,observational,0.3036,0.356,0.6658,1.8774,0.25,,0,keep
hidden_matrix_fill_obs_learning,observational,0.3393,0.4764,0.7303,1.1981,0.25,,0,keep
hidden_damping_physics_obs_learning,observational,0.4107,0.3874,0.8323,2.182,0.5625,,0,keep
hidden_graph_centrality_obs_learning,observational,0.1429,0.3631,0.6214,0.5917,0.25,,0,keep
singleton_gate_local_max_obs_learning,observational,0.2143,0.1926,0.5396,1.5306,0.1875,,0,keep
linear_feedback_shift_register_obs_learning,observational,0.1964,0.3279,0.713,1.6267,0.5625,,0,keep
lattice_meet_join_obs_learning,observational,0.2143,0.3377,0.9214,1.6267,0.4375,,0,keep
phonological_alternation_harmony_obs_learning,observational,0.7679,0.2679,0.5258,1.6894,0.375,,0,keep
hidden_region_classifier_obs_learning,observational,0.8452,0.1381,0.1025,1.5774,-0.0417,,0,keep
hidden_token_filter_obs_learning,observational,0.3393,0.3341,0.8754,1.7885,0.5,,0,keep
sigil_naming_obs_learning,observational,0.25,0.3397,0.7165,1.4488,0.4375,,0,keep
pushdown_automaton_inference_obs_learning,observational,0.8393,0.1862,0.3689,1.4316,0.125,,0,keep
mealy_machine_output_obs_learning,observational,0.375,0.273,0.6788,1.9852,0.4375,,0,keep
pipeline_hazard_stall_counting_obs_learning,observational,0.2143,0.365,0.8673,1.4838,0.5,,0,keep
register_machine_trace_obs_learning,observational,0.125,0.273,0.7545,0.9464,0.4375,,0,keep
hidden_attribute_rule_obs_learning,observational,0.6161,0.1247,0.2263,1.8352,0.1562,,0,keep
shapley_values_cooperative_game_obs_learning,observational,0.2143,0.4258,0.8738,0.7496,0.5,,0,keep
ring_operations_hidden_carry_obs_learning,observational,0.3393,0.4558,0.8466,1.5216,0.625,,0,keep
hidden_state_machine_obs_learning,observational,0.2143,0.2749,0.662,1.5917,0.125,,0,keep
symbolic_glyphpair_scoring_obs_learning,observational,0.0893,0.1583,0.1691,1.0949,0.0,,0,keep
hidden_modal_logic_kripke_obs_learning,observational,0.4286,0.2673,0.2964,2.6106,0.2188,,0,keep
syntax_tree_rewrite_obs_learning,observational,0.5893,0.2877,0.7111,1.9852,0.4375,,0,keep
regex_intersection_membership_obs_learning,observational,0.7857,0.3079,0.3534,1.5744,0.375,,0,keep
hidden_priority_order_obs_learning,observational,0.2321,0.3979,0.1056,1.2917,-0.0625,,0,keep
titration_curve_diprotic_obs_learning,observational,0.3286,0.2016,0.872,1.4838,0.3,,0,keep
finite_state_transducer_obs_learning,observational,0.2679,0.4098,0.852,1.4138,0.5625,,0,keep
two_counter_machine_obs_learning,observational,0.3095,0.3388,0.3412,2.2638,0.0833,,0,keep
arithmetic_next_rf_learning,rl,0.3588,0.367,0.743,0.8631,0.4396,,0,keep
affine_cipher_word_rf_learning,rl,0.2933,0.3902,0.2011,1.1981,0.1967,,0,keep
chebyshev_point_rf_learning,rl,0.6979,0.4076,0.6729,0.9403,0.83,,0,keep
battleship_two_ships_rf_learning,rl,0.5949,0.4462,0.2566,1.2958,0.6328,,0,keep
coin_balance_rf_learning,rl,0.8889,0.2129,0.628,1.1981,0.2397,,0,keep
battleship_1d_rf_learning,rl,0.5908,0.4602,0.4195,1.5744,0.4421,,0,keep
bitstring_hamming_rf_learning,rl,0.2382,0.273,0.5465,1.2917,0.2658,,0,keep
collatz_length_rf_learning,rl,0.2804,0.3978,0.4466,1.4299,0.2507,,0,keep
crt_unique_rf_learning,rl,0.5663,0.3848,0.2382,1.4316,0.0167,,0,keep
base7_decode_rf_learning,rl,0.6652,0.3993,0.6539,1.7783,0.1297,,0,keep
cubic_eval_rf_learning,rl,0.9043,0.2116,0.5424,0.9464,0.0864,,0,keep
divisor_count_rf_learning,rl,0.6594,0.2816,0.6953,1.7274,0.3668,,0,keep
fib_like_next_rf_learning,rl,0.7699,0.314,0.1026,1.4926,-0.1492,,0,keep
graph_shortest_path_rf_learning,rl,0.7383,0.2725,0.4662,0.7345,0.0517,,0,keep
gray_hamming_rf_learning,rl,0.2417,0.2961,0.4223,0.9464,0.3626,,0,keep
mastermind_classic_rf_learning,rl,0.0829,0.0531,0.0643,0.8631,0.0,,0,keep
perm_fixed_points_rf_learning,rl,0.237,0.3613,0.5769,1.7274,0.4096,,0,keep
perm_footrule_rf_learning,rl,0.3622,0.4744,0.5011,0.9403,0.4646,,0,keep
recurrence_second_order_rf_learning,rl,0.6752,0.3935,0.6133,1.1981,0.6305,,0,keep
quadratic_root_rf_learning,rl,0.8127,0.3405,0.8141,1.0949,0.4383,,0,keep
product_hotcold_rf_learning,rl,0.6717,0.3891,0.3422,1.5306,0.5667,,0,keep
rule90_step_rf_learning,rl,0.6987,0.4006,0.0666,1.7783,0.4526,,0,keep
shift_cipher_rf_learning,rl,0.6184,0.377,0.164,1.2958,0.1834,,0,keep
sudoku_2x2_rf_learning,rl,0.7639,0.406,0.5979,1.2871,0.2134,,0,keep
sum_product_xy_rf_learning,rl,0.8184,0.3359,0.4681,0.7496,0.419,,0,keep
wordle_micro_rf_learning,rl,0.255,0.3151,0.6636,1.8424,0.4842,,0,keep
xor_subset_hamming_rf_learning,rl,0.553,0.4116,0.6742,1.2958,0.7708,,0,keep
